post_id,field_name,action,seed_source,notes,preview
74,service_general_team_image,preserved,accepted_demo_image,"control image if missing",non-scalar
74,service_general_clinic_landscape_image,preserved,accepted_demo_image,"control image if missing",non-scalar
74,service_general_corridor_image,preserved,accepted_demo_image,"control image if missing",non-scalar
314,service_general_team_image,preserved,accepted_demo_image,"control image if missing",non-scalar
314,service_general_clinic_landscape_image,preserved,accepted_demo_image,"control image if missing",non-scalar
314,service_general_corridor_image,preserved,accepted_demo_image,"control image if missing",non-scalar
78,service_general_team_image,preserved,accepted_demo_image,"control image if missing",non-scalar
78,service_general_clinic_landscape_image,preserved,accepted_demo_image,"control image if missing",non-scalar
78,service_general_corridor_image,preserved,accepted_demo_image,"control image if missing",non-scalar
81,service_general_team_image,preserved,accepted_demo_image,"control image if missing",non-scalar
81,service_general_clinic_landscape_image,preserved,accepted_demo_image,"control image if missing",non-scalar
81,service_general_corridor_image,preserved,accepted_demo_image,"control image if missing",non-scalar
85,service_general_team_image,preserved,accepted_demo_image,"control image if missing",non-scalar
85,service_general_clinic_landscape_image,preserved,accepted_demo_image,"control image if missing",non-scalar
85,service_general_corridor_image,preserved,accepted_demo_image,"control image if missing",non-scalar
316,service_general_intro_heading,seeded,page_title_demo,"page-specific neutral demo","Поведенческие зависимости — состояние, с которым можн"
316,service_general_intro_highlight,seeded,neutral_demo,"neutral demo highlight","DEMO — ЭТО НЕ ПРИГОВОР. ЭТО СОСТОЯНИЕ, КОТОРОЕ ПОДДАЁТСЯ "
316,service_general_bordered_info_items,seeded,page_title_demo,"neutral bordered",array:3
316,service_general_signs_heading,seeded,page_title_demo,"neutral signs","Признаки, на которые стоит обратить внимание (Поведенч"
316,service_general_signs_intro,seeded,page_title_demo,"neutral signs","DEMO — если вы замечаете у себя или близкого изменения, с"
316,service_general_signs_items,seeded,neutral_demo,"neutral signs",array:5
316,service_general_signs_editorial,seeded,page_title_demo,"neutral signs editorial","DEMO — краткий редакционный блок для страницы «Поведенч"
316,service_general_approach_heading,seeded,page_title_demo,"neutral approach","Наш подход к работе с запросом «Поведенческие зависим�"
316,service_general_approach_highlight,seeded,neutral_demo,"neutral approach","DEMO — МЫ СОЧЕТАЕМ ДИАГНОСТИКУ, ТЕРАПИЮ И ПОДДЕРЖКУ СЕМЬ"
316,service_general_approach_intro,seeded,page_title_demo,"neutral approach","DEMO — помощь по направлению «Поведенческие зависимост�"
316,service_general_approach_more_label,seeded,neutral_demo,"neutral approach link",подробнее
316,service_general_approach_more_url,seeded,neutral_demo,"neutral approach link",http://shpigovsky.test/o-centre/programma-lecheniya/
316,service_general_approach_cards,seeded,neutral_demo,"neutral approach cards",array:4
316,service_general_team_image,seeded,accepted_demo_image,"shared accepted demo image",1238
316,service_general_clinic_landscape_image,seeded,accepted_demo_image,"shared accepted demo image",1239
