post_id,title,field_name,before_state,after_state,seeded,seed_source,value_preview,preserved_existing,notes
73,Зависимости,section_dependencies_heading,test,test,no,preserve,"Зависимости, которые мы лечим 000101",yes,"meaningful/test preserved"
73,Зависимости,section_dependencies_lead,test,test,no,preserve,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliq",yes,"meaningful/test preserved"
73,Зависимости,section_dependencies_footer,test,test,no,preserve,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliq",yes,"meaningful/test preserved"
73,Зависимости,section_nature_heading,test,test,no,preserve,"Природа зависимости 000101",yes,"meaningful/test preserved"
73,Зависимости,section_nature_lead,demo,demo,no,preserve,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliq",yes,"preserved existing"
73,Зависимости,section_program_heading,test,test,no,preserve,"Наша программа включает 4 направления ТЕСТ",yes,"meaningful/test preserved"
73,Зависимости,section_program_more_label,test,test,no,preserve,"подробнее ТЕСТ",yes,"meaningful/test preserved"
73,Зависимости,section_program_lead,test,test,no,preserve,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliq",yes,"meaningful/test preserved"
73,Зависимости,section_stages_heading,meaningful,meaningful,no,preserve,"Что нужно для прохождения реабилитации и лечения",yes,"meaningful/test preserved"
73,Зависимости,section_stages_lead,meaningful,meaningful,no,preserve,"Мы гарантируем конфиденциальность, уважение к личности, поддержание комфортной, психологически безопасной атмосферы.",yes,"meaningful/test preserved"
73,Зависимости,section_stages_support_heading,meaningful,meaningful,no,preserve,"Поддержка осуществляется на всех этапах:",yes,"meaningful/test preserved"
73,Зависимости,section_approach_heading,meaningful,meaningful,no,preserve,"Наш подход к лечению зависимостей",yes,"meaningful/test preserved"
73,Зависимости,section_approach_more_label,meaningful,meaningful,no,preserve,подробнее,yes,"meaningful/test preserved"
73,Зависимости,section_approach_more_url,meaningful,meaningful,no,preserve,http://shpigovsky.test/o-centre/programma-lecheniya/,yes,"meaningful/test preserved"
73,Зависимости,section_approach_highlight,meaningful,meaningful,no,preserve,"Мы используем мультидисциплинарный подход — когда лечение одного пациента обеспечивается командой специалистов разных пр",yes,"meaningful/test preserved"
73,Зависимости,section_approach_intro,meaningful,meaningful,no,preserve,"Лечение в нашем реабилитационном центре совмещает современный и мультидисциплинарный подход, направленный на устранение ",yes,"meaningful/test preserved"
73,Зависимости,section_corridor_image_alt,meaningful,meaningful,no,preserve,"Интерьер клиники — коридор с картинами",yes,"meaningful/test preserved"
73,Зависимости,section_team_image_alt,meaningful,meaningful,no,preserve,"Команда специалистов реабилитационного центра",yes,"meaningful/test preserved"
73,Зависимости,section_faq_heading,meaningful,meaningful,no,preserve,"Нас часто спрашивают",yes,"meaningful/test preserved"
73,Зависимости,section_nature_text_blocks,demo,demo,no,preserve,array:2,yes,"existing repeater preserved"
73,Зависимости,section_nature_cards,demo,demo,no,preserve,array:2,yes,"existing repeater preserved"
73,Зависимости,section_program_intro_items,demo,demo,no,preserve,array:2,yes,"existing repeater preserved"
73,Зависимости,section_stages_items,meaningful,meaningful,no,preserve,array:4,yes,"existing repeater preserved"
73,Зависимости,section_stages_support_items,meaningful,meaningful,no,preserve,array:4,yes,"existing repeater preserved"
73,Зависимости,section_approach_cards,demo,demo,no,preserve,array:4,yes,"existing repeater preserved"
