term,keywords,lsi_phrases,synonyms
АГС,"АГС, алгоритм АГС","понижение сайтов с дорвеями, борьба с некачественными страницами, санкции Яндекса",антидорвейный алгоритм
Акцептор,акцептор ссылки,"страница, принимающая ссылку, целевой URL, получатель веса",страница-акцептор
Алгоритм ранжирования,"алгоритм ранжирования, факторы ранжирования","формула поиска, машинное обучение, оценка релевантности страниц",поисковый алгоритм
Алгоритмы поисковых систем,алгоритмы поисковых систем,"формулы ранжирования, факторы оценки сайта, обновления поисковика",поисковые алгоритмы
Анкор (анкорный текст),"анкор, анкорный текст","текст ссылки, ключевая фраза в ссылке, разнообразие анкоров",анкорный лист
Апдейт алгоритма,апдейт алгоритма,"обновление формулы ранжирования, изменение позиций, реакция сайтов на апдейт",обновление алгоритма
Асессор,"асессор, оценка качества выдачи","ручная оценка сайта, качество контента, критерии Яндекса и Google",эксперт-оценщик
"Атрибут rel=""nofollow""",атрибут rel nofollow,"запрет передачи веса по ссылке, отказ от учёта ссылки поисковиком, разметка рекламных ссылок",nofollow-ссылка
Аудит сайта (SEO-аудит),"SEO-аудит, аудит сайта","технический аудит, анализ ошибок, план оптимизации",SEO-анализ
Аутрич,"аутрич, outreach","работа с владельцами сайтов, размещение материалов, персонализированные предложения",outreach-маркетинг
Аффилированность,аффилированность сайтов,"связанные ресурсы одного владельца, склейка в выдаче, ограничение видимости аффилиатов",аффилиат
Баден-Баден (алгоритм),алгоритм Баден-Баден,"переспам текста, санкции Яндекса, некачественный контент",фильтр Баден-Баден
Бан сайта,бан сайта,"исключение из индекса, запрет индексирования, санкции модератора",бан
Безанкорная ссылка,безанкорная ссылка,"ссылка без ключевого текста, естественный ссылочный профиль, URL как анкор",ссылка без анкора
Белая оптимизация,"белая оптимизация, white hat SEO","разрешённые методы продвижения, естественное развитие сайта, соответствие рекомендациям поисковиков",white hat
Биржа ссылок,биржа ссылок,"покупка и продажа ссылок, автоматизированная площадка размещения, донор и заказчик",ссылочная биржа
Битые ссылки,"битые ссылки, неработающие ссылки","ошибка 404, потеря веса страницы, проверка ссылок",мёртвые ссылки
Брендовый трафик,брендовый трафик,"запросы по названию бренда, узнаваемость компании",брендовые переходы
Быстрые ссылки (сайтлинки),"быстрые ссылки, sitelinks","дополнительные ссылки в выдаче, структура сайта",sitelinks
Веб-мастер,"веб-мастер, вебмастер сайта","управление сайтом, техническая поддержка, SEO-специалист",администратор сайта
Веб-страница,"веб-страница, HTML-страница","файл страницы сайта, отображение в браузере, единица контента сайта",страница сайта
Вертикальный поиск,вертикальный поиск,"узкоспециализированный поиск, поиск по картинкам/видео/товарам, тематическая выдача",специализированный поиск
Видимость сайта,видимость сайта в поиске,"охват по ключевым словам, доля показов, общий охват выдачи",поисковая видимость
Визит / Сессия,"визит, сессия пользователя","период активности на сайте, длительность посещения, количество действий за визит",сессия
Внешняя оптимизация,внешняя оптимизация сайта,"работа с внешними ссылками, наращивание ссылочной массы, повышение ссылаемости",off-page оптимизация
Внутренняя оптимизация,внутренняя оптимизация,"мета-теги, структура сайта, перелинковка",on-page оптимизация
Внутренняя перелинковка,внутренняя перелинковка,"ссылки между страницами, распределение веса, навигация по сайту",перелинковка
Вода в тексте,вода в тексте,"неинформативные фразы, снижение полезности контента, показатель водности",водность текста
Воронка продаж,воронка продаж,"этапы конверсии, путь пользователя, целевое действие",конверсионная воронка
ВЧ / СЧ / НЧ запросы,"высокочастотные, среднечастотные, низкочастотные запросы","частотность запроса, конкурентность по частоте, распределение семантики","ВЧ, СЧ, НЧ, мНЧ"
Геозависимый запрос,геозависимый запрос,"региональная выдача, локальный поиск, привязка к городу",региональный запрос
Геонезависимый запрос,геонезависимый запрос,"одинаковая выдача во всех регионах, общая тематика запроса",нерегиональный запрос
Главная страница сайта,главная страница сайта,"точка входа на сайт, домашняя страница, первая страница при заходе","морда, домашняя страница"
Главное зеркало сайта,главное зеркало сайта,"основная версия для индексации, склейка www и без www, выбор канонического домена",основное зеркало
Глубина вложенности,глубина вложенности страницы,"количество кликов от главной, доступность для робота, структура каталога",уровень вложенности
Гостевой постинг,"гостевой постинг, гостевые статьи","публикация на стороннем сайте, естественная ссылка, охват аудитории",guest posting
ГС,"ГС, главная страница (жаргон)","ссылки с главной страницы, вес главной, размещение анонсов на ГС",главная страница
Дашборд (Dashboard),"дашборд, dashboard","панель показателей, визуализация метрик, сводный отчёт по проекту",панель мониторинга
Длинный хвост (long tail),"низкочастотные запросы, long tail","узкая тематика запроса, конкретизация запроса, конверсионность",длиннохвостые запросы
Домен,"домен, доменное имя","адрес сайта, регистрация домена, доменная зона",доменное имя
Донор ссылки,"донор ссылки, сайт-донор","размещение ссылки, тематика донора, качество донора",сайт-донор
Дорвей,"дорвей, doorway-страницы","страницы-ловушки трафика, перенаправление без ведома пользователя, форма поискового спама",doorway
Дубли страниц,дубли страниц,"повторяющийся контент, canonical, склейка страниц",дублирующийся контент
Естественные ссылки,естественные ссылки,"органическое размещение, ссылки без покупки, доверие поисковика",органические ссылки
Заголовки H1–H6,заголовки H1-H6,"иерархия заголовков, структура текста, разметка страницы",теги заголовков
Запрос информационный,информационный запрос,"поиск информации, ответ на вопрос, обучающий контент",инфозапрос
Запрос коммерческий,коммерческий запрос,"намерение купить, карточка товара, цена и заказ",транзакционный запрос
Запрос навигационный,навигационный запрос,"поиск конкретного сайта, брендовый поиск, точный адрес",навигационная выдача
Заспамленность текста,"заспамленность текста, тошнота текста","переспам ключевыми словами, читаемость текста, естественность языка",переспам
Зеркало сайта,зеркало сайта,"дублирующийся домен, www и без www, склейка зеркал",сайт-зеркало
Индекс,индекс поисковой системы,"база данных поисковика, словарь слов и страниц, хранилище просканированных страниц",поисковая база
Индекс качества сайта (ИКС),"ИКС, индекс качества сайта","показатель Яндекса, оценка полезности сайта, влияние на ранжирование",индекс качества
Индексация,индексация сайта,"добавление страниц в базу поисковика, сканирование, обновление индекса",индексирование
Интент,"интент запроса, поисковое намерение","цель пользователя, тип запроса, соответствие контента намерению",search intent
Исходящие ссылки,исходящие ссылки,"ссылки на внешние сайты, вес страницы, качество ссылочного окружения",внешние ссылки
Каннибализация запросов,каннибализация запросов,"конкуренция страниц сайта, дублирование релевантности, потеря позиций",внутренняя конкуренция страниц
Канонический URL (canonical),"canonical, канонический адрес","устранение дублей, основная версия страницы, rel=canonical",каноническая страница
КАПЧА (CAPTCHA),"капча, CAPTCHA","проверка на робота, защита формы от ботов, тест Тьюринга на сайте",captcha-проверка
Карта сайта (sitemap.xml),"sitemap.xml, карта сайта","индексация страниц, структура сайта для роботов, файл карты",XML-карта сайта
Кластеризация запросов,кластеризация запросов,"группировка ключевых слов, seo-кластер, структура сайта под запросы",группировка ключей
Клик,клик,"переход по ссылке или баннеру, действие пользователя, событие в аналитике",переход
Кликфрод,кликфрод,"накрутка кликов по рекламе, мошенничество с CPC, боты вместо пользователей",click fraud
Ключевое слово,"ключевое слово, ключевой запрос","поисковый запрос, семантика страницы, частотность",ключевик
Конверсия,конверсия сайта,"целевое действие, коэффициент конверсии, воронка продаж",CR (conversion rate)
Конкурентность запроса,конкурентность запроса,"сложность продвижения, число конкурентов в выдаче, стоимость клика",сложность запроса
Контент,контент сайта,"информационное наполнение, тексты и медиа, содержимое страницы",наполнение сайта
Контент-маркетинг,контент-маркетинг,"полезный контент, привлечение аудитории, экспертные статьи",контентная стратегия
Копирайтинг,копирайтинг,"написание текстов, уникальный контент, продающий текст",написание текстов
Крауд-маркетинг,крауд-маркетинг,"размещение ссылок на форумах, естественные упоминания, отзывы с ссылкой",crowd-маркетинг
Краулер (поисковый робот),"краулер, поисковый робот","сканирование страниц, индексирующий бот, обход сайта","паук, бот поисковика"
Краулинг,краулинг сайта,"обход страниц роботом, сканирование контента, доступность для индексации",сканирование сайта
Краулинговый бюджет,краулинговый бюджет,"лимит сканирования, оптимизация обхода робота, крупные сайты",бюджет сканирования
Лайк и шара,"лайк, шара (share)","социальные реакции, репост в соцсетях, вовлечённость аудитории",социальные действия
Лендинг (посадочная страница),"лендинг, посадочная страница","целевая страница, конверсионная страница, продающий дизайн",landing page
Лид,лид,"потенциальный клиент, заявка с сайта, целевой контакт",заявка
Линкбилдинг,"линкбилдинг, ссылочное продвижение","наращивание ссылочной массы, покупка ссылок, естественный ссылочный профиль",ссылочное продвижение
