"finding_id","phrase","group","negative","action_type","exact_action","validation_result"
"CF-0001","тс пиот честный знак 1с розница","CORV-G08-01","честный знак","DELETE NEGATIVE","DELETE NEGATIVE: removed «честный знак» (group_cross) from scope CORV-G08-01 — literal collision with active keyword «тс пиот честный знак 1с розница»","PASS"
"CF-0002","тс пиот честный знак 1с","CORV-G08-02","честный знак","DELETE NEGATIVE","DELETE NEGATIVE: removed «честный знак» (group_cross) from scope CORV-G08-02 — literal collision with active keyword «тс пиот честный знак 1с»","PASS"
"CF-0003","настройка честного знака в 1с","CORV-G06-03","настрой","DELETE NEGATIVE","DELETE NEGATIVE: removed «настрой» (group_cross) from scope CORV-G06-03 — literal collision with active keyword «настройка честного знака в 1с»","PASS"
"CF-0004","обмена с сайтом 1с интеграция","CORV-G05-01","обмен","DELETE NEGATIVE","DELETE NEGATIVE: removed «обмен» (group_cross) from scope CORV-G05-01 — literal collision with active keyword «обмена с сайтом 1с интеграция»","PASS"
"CF-0005","синхронизация сайта 1с","CORV-G05-01","синхрон","DELETE NEGATIVE","DELETE NEGATIVE: removed «синхрон» (group_cross) from scope CORV-G05-01 — literal collision with active keyword «синхронизация сайта 1с»","PASS"
"CF-0006","1с создание внешней печатной формы","CORV-G03-05","создан","DELETE NEGATIVE","DELETE NEGATIVE: removed «создан» (group_cross) from scope CORV-G03-05 — literal collision with active keyword «1с создание внешней печатной формы»","PASS"
"CF-0007","создание внешних печатных форм 1с 8.3","CORV-G03-05","создан","DELETE NEGATIVE","DELETE NEGATIVE: removed «создан» (group_cross) from scope CORV-G03-05 — literal collision with active keyword «1с создание внешней печатной формы»","PASS"
"CF-0008","печатная форма отчета 1с","CORV-G03-03","отчет","DELETE NEGATIVE","DELETE NEGATIVE: removed «отчет» (group_cross) from scope CORV-G03-03 — literal collision with active keyword «печатная форма отчета 1с»","PASS"
"CF-0009","обновление доработанных конфигураций 1с","CORV-G02-04","конфигурац","DELETE NEGATIVE","DELETE NEGATIVE: removed «конфигурац» (group_cross) from scope CORV-G02-04 — literal collision with active keyword «обновление доработанных конфигураций 1с»","PASS"
"CF-0010","сохранение доработок при обновлении 1с","CORV-G02-05","обновлен","DELETE NEGATIVE","DELETE NEGATIVE: removed «обновлен» (group_cross) from scope CORV-G02-05 — literal collision with active keyword «сохранение доработок при обновлении 1с»","PASS"
"CF-0011","исправление доработок после обновления 1с","CORV-G02-06","обновлен","DELETE NEGATIVE","DELETE NEGATIVE: removed «обновлен» (group_cross) from scope CORV-G02-06 — literal collision with active keyword «исправление доработок после обновления 1с»","PASS"
"CF-0012","обновление конфигурации 1с с доработками","CORV-G02-02","обновлен","DELETE NEGATIVE","DELETE NEGATIVE: removed «обновлен» (group_cross) from scope CORV-G02-02 — literal collision with active keyword «обновление конфигурации 1с с доработками»","PASS"
"CF-0013","абонентское обслуживание 1с","CORV-G01-07","обслуживание","DELETE NEGATIVE","DELETE NEGATIVE: removed «обслуживание» (group_cross) from scope CORV-G01-07 — literal collision with active keyword «абонентское обслуживание 1с»","PASS"
"CF-0014","внедренцы и программисты 1с","CORV-G01-04","программист","DELETE NEGATIVE","DELETE NEGATIVE: removed «программист» (group_cross) from scope CORV-G01-04 — literal collision with active keyword «внедренцы и программисты 1с»","PASS"
"CF-0015","программист 1с настройка","CORV-G01-03","программист","DELETE NEGATIVE","DELETE NEGATIVE: removed «программист» (group_cross) from scope CORV-G01-03 — literal collision with active keyword «программист 1с настройка»","PASS"
"CF-0016","1с программист без образования","CORV-G01-08","программист","EXCLUDE KEYWORD","EXCLUDE KEYWORD: «1с программист без образования» (kw-corv01-disc-499) — educational intent; retain negative «программист» for hire-traffic separation","PASS"
"CF-0017","ищу 1с программиста для разовой задачи","CORV-G01-08","программист","DELETE NEGATIVE","DELETE NEGATIVE: removed «программист» (group_cross) from scope CORV-G01-08 — literal collision with active keyword «1с программист без образования»","PASS"
"CF-0018","образование программист 1с","CORV-G01-08","программист","EXCLUDE KEYWORD","EXCLUDE KEYWORD: «образование программист 1с» (kw-corv01-disc-101) — educational intent; retain negative «программист» for hire-traffic separation","PASS"
"CF-0019","программист 1с без высшего образования","CORV-G01-08","программист","EXCLUDE KEYWORD","EXCLUDE KEYWORD: «программист 1с без высшего образования» (kw-corv01-disc-591) — educational intent; retain negative «программист» for hire-traffic separation","PASS"
"CF-0020","программист 1с высшее образование","CORV-G01-08","программист","EXCLUDE KEYWORD","EXCLUDE KEYWORD: «программист 1с высшее образование» (kw-corv01-disc-264) — educational intent; retain negative «программист» for hire-traffic separation","PASS"
