"level","group_id","keyword","negative","result"
"global","CORV-G08-01","1с розница подключение тс пиот","работа программист","PASS"
"global","CORV-G06-05","маркировка пива 1с","курс","PASS"
"global","CORV-G06-03","1с бухгалтерия честный знак","инструкция","PASS"
"global","CORV-G06-01","настройка маркировки в 1с","работодатель","PASS"
"global","CORV-G07-01","срочно программист 1с","сертификация специалиста","PASS"
"global","CORV-G05-01","управление сайтом интеграция с 1с","работа 1с","PASS"
"global","CORV-G05-04","1с 8.3 зуп синхронизация","урок","PASS"
"global","CORV-G03-05","1с печать внешней печатной формы","руководство","PASS"
"global","CORV-G03-03","обработки печатная форма 1с","трудоустройство","PASS"
"global","CORV-G02-01","договор доработка 1с","школа","PASS"
"global","CORV-G01-05","договор сопровождения 1с","работа на 1с","PASS"
"global","CORV-G01-08","1с программист без образования","уроки","PASS"
"direction","CORV-G08-01","1с розница подключение тс пиот","вакансия","PASS"
"direction","CORV-G06-06","маркировка воды 1с","печатная форма","PASS"
"direction","CORV-G06-11","маркировка масел 1с","интеграция сайт","PASS"
"direction","CORV-G06-03","честный знак 1с","сопровождение абонент","PASS"
"direction","CORV-G06-01","настройки сканирования кодов маркировки в 1с","программист вакансия","PASS"
"direction","CORV-G05-02","интеграция 1с бухгалтерия и битрикс 24","честный знак","PASS"
"direction","CORV-G05-04","синхронизация баз 1с","программист услуги","PASS"
"direction","CORV-G03-05","внешние печатные формы 1с 8.3","битрикс","PASS"
"direction","CORV-G02-05","перенос доработок 1с","честный знак","PASS"
"direction","CORV-G02-01","доработки программы 1с","курсы","PASS"
"direction","CORV-G01-05","сопровождение 1с","рмк","PASS"
"direction","CORV-G01-08","программист 1с высшее образование","маркировка","PASS"
"group_cross","CORV-G08-01","1с розница подключение тс пиот","интеграц","PASS"
"group_cross","CORV-G06-08","маркировка лекарств средств","как настроить","PASS"
"group_cross","CORV-G06-03","лм честный знак 1с","пив","PASS"
"group_cross","CORV-G06-01","настройка маркировки в 1с розница","автозапчаст","PASS"
"group_cross","CORV-G05-02","битрикс 24 модуль интеграции с 1с","перенос","PASS"
"group_cross","CORV-G05-06","миграция данных 1с","касса","PASS"
"group_cross","CORV-G03-06","настройка рмк 1с","маркировка","PASS"
"group_cross","CORV-G03-03","печатные формы 1с бп","рмк","PASS"
"group_cross","CORV-G02-01","доработка 1с унф","печатная форма","PASS"
"group_cross","CORV-G01-05","асп сопровождение 1с","доработка","PASS"
"group_cross","CORV-G01-05","сопровождения программы 1с","разов","PASS"
"group_cross","CORV-G01-01","отзыв программисту 1с","сопровождение","PASS"
"phrase_inline","CORV-G01-01","вопрос программисту 1с -вакансия -обучение -курсы -резюме -как стать","вакансия","PASS"
"phrase_inline","CORV-G01-01","задание программисту 1с","как стать","PASS"
"phrase_inline","CORV-G01-01","найти программиста 1с","резюме","PASS"
"phrase_inline","CORV-G01-01","отзыв программисту 1с","курсы","PASS"
"phrase_inline","CORV-G01-01","программист 1с","обучение","PASS"
"phrase_inline","CORV-G01-01","программист 1с удаленно","вакансия","PASS"
"phrase_inline","CORV-G01-01","программист аналитик 1с","как стать","PASS"
"phrase_inline","CORV-G01-01","программисты 1с спб","резюме","PASS"
"phrase_inline","CORV-G01-01","сколько зарабатывает программист 1с","курсы","PASS"
"phrase_inline","CORV-G01-01","стал программистом 1с","обучение","PASS"
"phrase_inline","CORV-G01-01","стоимость часа 1с программиста","вакансия","PASS"
"phrase_inline","CORV-G01-01","технические задания программистам 1с","как стать","PASS"
"group_export","CORV-G08-01","1с розница подключение тс пиот","интеграц","PASS"
"group_export","CORV-G06-06","маркировка воды в 1с","алкогол","PASS"
"group_export","CORV-G06-11","маркировка масел 1с","как настроить","PASS"
"group_export","CORV-G06-03","честный знак в 1с","не работает 1с","PASS"
"group_export","CORV-G06-01","настройки сканирования кодов маркировки в 1с","список маркируемых","PASS"
"group_export","CORV-G05-02","интеграция битрикс 1с ут","обмен","PASS"
"group_export","CORV-G05-04","синхронизация 1с ут","сопровождение","PASS"
"group_export","CORV-G03-05","внешняя печатная форма 1с 8.3 управляемое","сопровождение","PASS"
"group_export","CORV-G02-06","исправление доработок после обновления 1с","перенос","PASS"
"group_export","CORV-G02-01","разработка доработка 1с","конфигурац","PASS"
"group_export","CORV-G01-05","сопровождение 1с итс","печатная форма","PASS"
"group_export","CORV-G01-08","разовые работы 1с","синхронизация","PASS"
