source_term,canonical_term,post_id,slug,category,depth,short_definition,content_file,synonyms,related_terms,seo_title,meta_description,verification_status,wordpress_apply_status
Лендинг (посадочная страница),Посадочная страница,2517,posadochnaya-stranicza,UX and conversion,MODERATE,"Посадочная страница — страница сайта, на которую пользователь попадает из поиска, рекламы, рассылки или другого канала. Её задача — дать ответ на конкретное намерение посетителя и помочь ему совершить следующий понятный шаг.",content/glossary/batch-02/посадочная-страница.md,landing page,Воронка продаж; Конверсия; Поисковый интент,Посадочная страница: что это и зачем нужна,"Что называют посадочной страницей, чем она отличается от лендинга и какие задачи решает для трафика и конверсии.","Методическое определение; результаты страницы зависят от предложения, аудитории и источника трафика.",applied
Воронка продаж,Воронка продаж,2472,voronka-prodazh,UX and conversion,MODERATE,"Воронка продаж — модель пути клиента от первого контакта с компанией до покупки и повторных действий. Она помогает разложить процесс на этапы и понять, где посетители или лиды теряются.",content/glossary/batch-02/воронка-продаж.md,конверсионная воронка,Конверсия; Event tracking; Сквозная аналитика,Воронка продаж: что это и как анализировать,"Объясняем, что такое воронка продаж, из каких этапов она состоит и как использовать её в аналитике сайта.",Методическая модель; состав этапов и расчёты зависят от бизнес-процесса.,applied
UX/UI (юзабилити и интерфейс),UX и UI,2678,ux-i-ui,UX and conversion,MODERATE,"UX и UI — связанные, но разные области проектирования цифрового продукта: UX описывает пользовательский опыт и логику пути, UI — визуальный интерфейс и элементы взаимодействия. Удобный интерфейс поддерживает сценарий пользователя, а не только выглядит аккуратно.",content/glossary/batch-02/ux-и-ui.md,юзабилити,Посадочная страница; Конверсия; Поведенческие факторы,UX и UI: различия и роль на сайте,"Чем отличаются UX и UI, какие элементы относятся к пользовательскому опыту и интерфейсу и как их проверять на сайте.",Общее определение UX/UI; влияние отдельных изменений на бизнес-метрики не гарантируется.,applied
KPI (ключевые показатели эффективности),KPI,2654,kpi,analytics and metrics,SIMPLE,"KPI — ключевые показатели эффективности, по которым оценивают достижение конкретной цели. В маркетинге и SEO это могут быть целевые заявки, выручка, доля органического трафика или стоимость привлечения.",content/glossary/batch-02/kpi.md,ключевые показатели,Конверсия; ROI; Органический трафик,KPI: что такое ключевые показатели эффективности,"Что означает KPI, как выбрать ключевые показатели для SEO и маркетинга и почему одной метрики недостаточно.",Методическое определение; набор KPI зависит от цели и модели бизнеса.,applied
ROI (окупаемость инвестиций),ROI,2667,roi,analytics and metrics,SIMPLE,"ROI — показатель окупаемости инвестиций, сопоставляющий финансовый результат с вложениями. Его используют, чтобы понять, покрывает ли полученная прибыль затраты на проект, канал или кампанию.",content/glossary/batch-02/roi.md,окупаемость вложений,ROMI; KPI; Сквозная аналитика,ROI: что означает окупаемость инвестиций,"Как рассчитывают ROI, чем окупаемость отличается от выручки и почему важно заранее определить состав затрат.",Формула приведена в общем виде; состав доходов и затрат определяется методикой компании.,applied
ROMI,ROMI,2668,romi,analytics and metrics,MODERATE,"ROMI — показатель окупаемости маркетинговых инвестиций, который сопоставляет финансовый результат с расходами на маркетинг. Он помогает оценивать каналы и кампании, но требует корректной атрибуции продаж.",content/glossary/batch-02/romi.md,рентабельность маркетинга,ROI; Сквозная аналитика; LTV,ROMI: что это и как считать,"Что показывает ROMI, чем он отличается от ROI и какие данные нужны для оценки окупаемости маркетинга.",Методический показатель; единая формула зависит от принятой финансовой модели.,applied
CPA,CPA,2629,cpa,analytics and metrics,SIMPLE,"CPA — стоимость целевого действия: сумма расходов, приходящаяся на одно заданное действие пользователя. Целью может быть заявка, покупка, регистрация или другое измеряемое событие.",content/glossary/batch-02/cpa.md,цена за действие,CPL; Конверсия; ROMI,CPA: что такое стоимость действия,"Что означает CPA, как рассчитывают стоимость целевого действия и почему её сопоставляют с качеством лидов.",Формула метрики проверяема; значение целевого действия и правила учёта задаются аналитикой.,applied
CPL,CPL,2631,cpl,analytics and metrics,SIMPLE,"CPL — стоимость лида, то есть расходы на привлечение одной заявки или контакта потенциального клиента. Метрика показывает цену верхнего этапа воронки, а не стоимость продажи.",content/glossary/batch-02/cpl.md,цена за лид,CPA; Воронка продаж; Сквозная аналитика,CPL: что это и как рассчитывается цена лида,"Что показывает CPL, как определить лид для расчёта и почему стоимость заявки не равна стоимости продажи.",Методика подсчёта зависит от определения лида и правил атрибуции.,applied
CPC,CPC,2630,cpc,analytics and metrics,SIMPLE,"CPC — стоимость одного клика по рекламному объявлению. Метрика помогает контролировать расходы на переходы, но сама по себе не показывает ценность привлечённого трафика.",content/glossary/batch-02/cpc.md,цена за клик,CPA; CTR; Поисковая контекстная реклама,CPC: что означает цена за клик,"Как рассчитывается CPC, от чего зависит стоимость клика и почему её анализируют вместе с конверсией.",Формула метрики проверяема; правила расчёта в рекламных системах могут отличаться.,applied
LTV,LTV,2657,ltv,analytics and metrics,MODERATE,LTV — пожизненная ценность клиента: ожидаемый или фактически полученный доход от клиента за всё время отношений с компанией. Показатель помогает оценивать экономику привлечения и удержания.,content/glossary/batch-02/ltv.md,пожизненная ценность клиента,CPL; ROMI; Сквозная аналитика,LTV: что такое пожизненная ценность клиента,"Что означает LTV, какие данные используют для расчёта и почему пожизненную ценность оценивают по сегментам.",Методический показатель; формула и горизонт расчёта зависят от модели бизнеса.,applied
