post_id,title,frontend_block,current_source,should_be_page_acf,action,notes
74,"Лечение алкогольной зависимости",intro,page_acf,yes,preserve,
74,"Лечение алкогольной зависимости",bordered_info,page_acf,yes,preserve,
74,"Лечение алкогольной зависимости",signs,page_acf,yes,preserve,
74,"Лечение алкогольной зависимости",approach,page_acf,yes,preserve,
74,"Лечение алкогольной зависимости",team_image,page_acf,yes,preserve,
74,"Лечение алкогольной зависимости",landscape_image,page_acf,yes,preserve,
74,"Лечение алкогольной зависимости",program,page_acf,yes,preserve,
74,"Лечение алкогольной зависимости",stages,page_acf,yes,preserve,
74,"Лечение алкогольной зависимости",corridor_image,page_acf,yes,preserve,
74,"Лечение алкогольной зависимости",faq,page_acf,yes,preserve,
74,"Лечение алкогольной зависимости",children_tiles,automatic,no,preserve_automatic_children,
314,"Лечение наркотической зависимости",intro,template_fallback,yes,seed_page_acf_neutral,
314,"Лечение наркотической зависимости",bordered_info,template_fallback,yes,seed_page_acf_neutral,
314,"Лечение наркотической зависимости",signs,template_fallback,yes,seed_page_acf_neutral,
314,"Лечение наркотической зависимости",approach,template_fallback,yes,seed_page_acf_neutral,
314,"Лечение наркотической зависимости",team_image,template_fallback,yes,seed_page_acf_neutral,
314,"Лечение наркотической зависимости",landscape_image,page_acf,yes,preserve,
314,"Лечение наркотической зависимости",program,template_fallback,yes,seed_page_acf_neutral,
314,"Лечение наркотической зависимости",stages,template_fallback,yes,seed_page_acf_neutral,
314,"Лечение наркотической зависимости",corridor_image,page_acf,yes,preserve,
314,"Лечение наркотической зависимости",faq,template_fallback,yes,seed_page_acf_neutral,
314,"Лечение наркотической зависимости",children_tiles,automatic,no,preserve_automatic_children,
78,Депрессия,intro,template_fallback,yes,seed_page_acf_neutral,
78,Депрессия,bordered_info,template_fallback,yes,seed_page_acf_neutral,
78,Депрессия,signs,template_fallback,yes,seed_page_acf_neutral,
78,Депрессия,approach,template_fallback,yes,seed_page_acf_neutral,
78,Депрессия,team_image,template_fallback,yes,seed_page_acf_neutral,
78,Депрессия,landscape_image,page_acf,yes,preserve,
78,Депрессия,program,template_fallback,yes,seed_page_acf_neutral,
78,Депрессия,stages,template_fallback,yes,seed_page_acf_neutral,
78,Депрессия,corridor_image,page_acf,yes,preserve,
78,Депрессия,faq,template_fallback,yes,seed_page_acf_neutral,
78,Депрессия,children_tiles,automatic,no,preserve_automatic_children,
81,"Тревожные расстройства",intro,template_fallback,yes,seed_page_acf_neutral,
81,"Тревожные расстройства",bordered_info,template_fallback,yes,seed_page_acf_neutral,
81,"Тревожные расстройства",signs,template_fallback,yes,seed_page_acf_neutral,
81,"Тревожные расстройства",approach,template_fallback,yes,seed_page_acf_neutral,
81,"Тревожные расстройства",team_image,template_fallback,yes,seed_page_acf_neutral,
81,"Тревожные расстройства",landscape_image,template_fallback,yes,seed_page_acf_neutral,
81,"Тревожные расстройства",program,template_fallback,yes,seed_page_acf_neutral,
81,"Тревожные расстройства",stages,template_fallback,yes,seed_page_acf_neutral,
81,"Тревожные расстройства",corridor_image,template_fallback,yes,seed_page_acf_neutral,
81,"Тревожные расстройства",faq,template_fallback,yes,seed_page_acf_neutral,
81,"Тревожные расстройства",children_tiles,automatic,no,preserve_automatic_children,
85,Анорексия,intro,template_fallback,yes,seed_page_acf_neutral,
85,Анорексия,bordered_info,template_fallback,yes,seed_page_acf_neutral,
85,Анорексия,signs,template_fallback,yes,seed_page_acf_neutral,
85,Анорексия,approach,template_fallback,yes,seed_page_acf_neutral,
85,Анорексия,team_image,template_fallback,yes,seed_page_acf_neutral,
85,Анорексия,landscape_image,template_fallback,yes,seed_page_acf_neutral,
85,Анорексия,program,template_fallback,yes,seed_page_acf_neutral,
85,Анорексия,stages,template_fallback,yes,seed_page_acf_neutral,
85,Анорексия,corridor_image,template_fallback,yes,seed_page_acf_neutral,
85,Анорексия,faq,template_fallback,yes,seed_page_acf_neutral,
85,Анорексия,children_tiles,automatic,no,preserve_automatic_children,
