"finding_id","group_id","keyword","negative","level","type","correction","result_after","status"
"SF-0001","CORV-G08-01","1с розница подключение тс пиот","маркировка пива","direction","SEMANTIC_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0002","CORV-G08-01","1с розница подключение тс пиот","маркировка воды","direction","SEMANTIC_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0003","CORV-G08-01","1с розница подключение тс пиот","программист","direction","SEMANTIC_RISK","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for scope.","PASS","RESOLVED"
"SF-0004","CORV-G08-01","1с розница подключение тс пиот","доработка","direction","SEMANTIC_RISK","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope.","PASS","RESOLVED"
"SF-0005","CORV-G08-01","1с розница подключение тс пиот","интеграц","group_cross","SEMANTIC_RISK","SAFE: no literal collision in owner groups; separates integration groups CORV-C05; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0006","CORV-G08-01","1с розница подключение тс пиот","маркировка","group_cross","SEMANTIC_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0007","CORV-G08-01","настройка подключения к тс пиот 1с","маркировка пива","direction","SEMANTIC_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0008","CORV-G08-01","настройка подключения к тс пиот 1с","маркировка воды","direction","SEMANTIC_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0009","CORV-G08-01","настройка подключения к тс пиот 1с","программист","direction","SEMANTIC_RISK","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for scope.","PASS","RESOLVED"
"SF-0010","CORV-G08-01","настройка подключения к тс пиот 1с","доработка","direction","SEMANTIC_RISK","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope.","PASS","RESOLVED"
"SF-0011","CORV-G08-01","настройка подключения к тс пиот 1с","интеграц","group_cross","SEMANTIC_RISK","SAFE: no literal collision in owner groups; separates integration groups CORV-C05; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0012","CORV-G08-01","настройка подключения к тс пиот 1с","маркировка","group_cross","SEMANTIC_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0013","CORV-G08-01","настройка подключения к тс пиот 1с розница","маркировка пива","direction","SEMANTIC_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
