"direction_id","phrase","final_action","explanation"
"CORV-C01","маркировка","SAFE","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope."
"CORV-C01","честный знак","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C01","битрикс","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C01","не работает","REMOVE","Regression REG-02: Exchange-failure group must not minus core symptom «не работает»"
"CORV-C01","ошибка","SAFE","SAFE: no literal collision in owner groups; separates troubleshooting CORV-C07; representative checks pass for scope."
"CORV-C01","вакансия программист","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C01","отчет","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C01","печатная форма","REMOVE","Regression REG-03: External print-form group must not minus «печатная форма»"
"CORV-C01","рмк","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C01","тс пиот","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C01","интеграция сайт","SAFE","SAFE: no literal collision in owner groups; separates integration groups CORV-C05; representative checks pass for scope."
"CORV-C01","синхронизация","REMOVE","Regression REG-04: Cash-register sync group must not minus stem «синхрон»"
"CORV-C02","маркировка","SAFE","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope."
"CORV-C02","честный знак","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C02","отчет","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C02","печатная форма","REMOVE","Regression REG-03: External print-form group must not minus «печатная форма»"
"CORV-C02","рмк","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C02","не работает","REMOVE","Regression REG-02: Exchange-failure group must not minus core symptom «не работает»"
"CORV-C02","вакансия","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C02","курсы","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C02","битрикс","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C02","интеграция","SAFE","SAFE: no literal collision in owner groups; separates integration groups CORV-C05; representative checks pass for scope."
"CORV-C02","синхронизация","REMOVE","Regression REG-04: Cash-register sync group must not minus stem «синхрон»"
"CORV-C03","маркировка","SAFE","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope."
