finding_id,severity,category,url,url_family,status_code,indexability,canonical,title,description,h1,inlinks,sitemap,issue,evidence,decision_type,recommended_action
IMG-BROKEN,MEDIUM,ASSETS,https://i-seo.su/img/logo.svg,other,,,,,,,,,Broken image URLs in sample,count=1 of sampled,TECH_FIX,Fix src or remove dead images
CSS-BROKEN,HIGH,ASSETS,https://i-seo.su/blog/author/css/main.css,blog,,,,,,,,,Broken CSS assets,count=6,TECH_FIX,Restore CSS paths
CSS-BROKEN,HIGH,ASSETS,https://i-seo.su/blog/author/css/media.css,blog,,,,,,,,,Broken CSS assets,count=6,TECH_FIX,Restore CSS paths
CSS-BROKEN,HIGH,ASSETS,https://i-seo.su/blog/author/css/normalize.css,blog,,,,,,,,,Broken CSS assets,count=6,TECH_FIX,Restore CSS paths
CSS-BROKEN,HIGH,ASSETS,https://i-seo.su/blog/author/libs/fancybox/jquery.fancybox.min.css,blog,,,,,,,,,Broken CSS assets,count=6,TECH_FIX,Restore CSS paths
CSS-BROKEN,HIGH,ASSETS,https://i-seo.su/blog/author/libs/owl/owl.carousel.min.css,blog,,,,,,,,,Broken CSS assets,count=6,TECH_FIX,Restore CSS paths
CSS-BROKEN,HIGH,ASSETS,https://i-seo.su/blog/author/libs/owl/owl.theme.default.min.css,blog,,,,,,,,,Broken CSS assets,count=6,TECH_FIX,Restore CSS paths
CANON-MISSING,MEDIUM,CANONICAL,https://i-seo.su/,home,200,True,,Продвижение сайтов в ТОП под ключ в Москве | Агентство INTLSEO,"Компания INTLSEO по продвижению сайтов в ТОП Яндекс и Google. Разрабатываем сайты с оптимизацией под SEO, продвигаем в топ, настраиваем контекстную рекламу.","Продвигаем бизнес в интернете, выводим сайты в ИИ выдачу",649,True,Missing canonical on content-like 200 pages,count=206,SEO_DECISION,Add self-referencing canonical on templates
CANON-MISSING,MEDIUM,CANONICAL,https://i-seo.su/home.html,static,200,True,,Продвижение сайтов в ТОП под ключ в Москве | Агентство INTLSEO,"Компания INTLSEO по продвижению сайтов в ТОП Яндекс и Google. Разрабатываем сайты с оптимизацией под SEO, продвигаем в топ, настраиваем контекстную рекламу.",Продвигаем сайты в ТОП Яндекса и Google,0,False,Missing canonical on content-like 200 pages,count=206,SEO_DECISION,Add self-referencing canonical on templates
CANON-MISSING,MEDIUM,CANONICAL,https://i-seo.su/offers,offers,200,False,,Предложения - INTLSEO Studio,,Предложения,0,True,Missing canonical on content-like 200 pages,count=206,SEO_DECISION,Add self-referencing canonical on templates
CANON-MISSING,MEDIUM,CANONICAL,https://i-seo.su/offers/,offers,200,False,,Предложения - INTLSEO Studio,,Предложения,0,True,Missing canonical on content-like 200 pages,count=206,SEO_DECISION,Add self-referencing canonical on templates
CANON-MISSING,MEDIUM,CANONICAL,https://i-seo.su/services.html,static,200,True,,Услуги SEO продвижения сайтов в Москве | INTLSEO,"Профессиональные услуги SEO продвижения и оптимизации сайтов в Москве. Прозрачная стоимость, результат по ТОП-10. Закажите SEO-аудит бесплатно!",SEO услуги для вашего бизнеса,649,True,Missing canonical on content-like 200 pages,count=206,SEO_DECISION,Add self-referencing canonical on templates
CANON-MISSING,MEDIUM,CANONICAL,https://i-seo.su/cases.html,static,200,True,,Наши результаты | Агентство INTLSEO,Посмотрите результаты продвижения сайтов наших клиентов. INTLSEO с 2019 года помогает бизнесам достигать высоких позиций в поисковых системах. Примеры успешных кейсов и отзывы клиентов.,Результаты продвижения сайтов,684,True,Missing canonical on content-like 200 pages,count=206,SEO_DECISION,Add self-referencing canonical on templates
CANON-MISSING,MEDIUM,CANONICAL,https://i-seo.su/contacts.html,static,200,True,,Контакты | Агентство INTLSEO,"Свяжитесь с нами для бесплатной консультации по SEO. Мы находимся рядом с Москвой, в БЦ Красногорск Плаза. С 2019 года помогаем бизнесам расти в онлайне. Звоните или пишите нам для консультации!",Контакты,684,True,Missing canonical on content-like 200 pages,count=206,SEO_DECISION,Add self-referencing canonical on templates
CANON-MISSING,MEDIUM,CANONICAL,https://i-seo.su/about.html,static,200,True,,О студии INTLSEO,INTLSEO – команда опытных специалистов по SEO. С 2019 года мы предлагаем качественные услуги по продвижению сайтов. Наш офис находится в БЦ Красногорск Плаза.,О нас,684,True,Missing canonical on content-like 200 pages,count=206,SEO_DECISION,Add self-referencing canonical on templates
CANON-MISSING,MEDIUM,CANONICAL,https://i-seo.su/reviews.html,static,200,True,,Отзывы клиентов INTLSEO,"Мы гордимся положительными отзывами и успешными кейсами, которые подтверждают нашу экспертность и профессионализм. С 2019 года мы помогаем бизнесам достигать успеха в поисковых системах.",Отзывы,684,True,Missing canonical on content-like 200 pages,count=206,SEO_DECISION,Add self-referencing canonical on templates
CANON-MISSING,MEDIUM,CANONICAL,https://i-seo.su/partners.html,static,200,True,,Партнерская программа INTLSEO – Растите вместе с нами,Станьте партнером INTLSEO и получите доступ к уникальным возможностям и выгодным условиям сотрудничества. Наш опыт в SEO с 2019 года поможет вам и вашим клиентам достигать успеха. Мы предлагаем выгодные условия и профессиональную поддержку для успешного SEO продвижения ваших клиентов.,Станьте партнером INTLSEO,684,True,Missing canonical on content-like 200 pages,count=206,SEO_DECISION,Add self-referencing canonical on templates
CANON-MISSING,MEDIUM,CANONICAL,https://i-seo.su/bonuses.html,static,200,True,,Бонусы и подарки | Агентство INTLSEO,Приятные сюрпризы для наших клиентов. INTLSEO ценит своих клиентов и предлагает бонусы и подарки при заказе SEO услуг. Узнайте о наших специальных предложениях и программах лояльности!,Специальные предложения,684,True,Missing canonical on content-like 200 pages,count=206,SEO_DECISION,Add self-referencing canonical on templates
CANON-MISSING,MEDIUM,CANONICAL,https://i-seo.su/career.html,static,200,True,,Карьера в INTLSEO,"Ищете работу в SEO? Присоединяйтесь к INTLSEO! Станьте частью нашей команды. Офис в Красногорске, дружный коллектив. Возможность удаленной работы. Мы предлагаем отличные условия труда и возможности для профессионального роста. Узнайте больше и отправьте резюме!",Вакансии,684,True,Missing canonical on content-like 200 pages,count=206,SEO_DECISION,Add self-referencing canonical on templates
CANON-MISSING,MEDIUM,CANONICAL,https://i-seo.su/guarantees.html,static,200,True,,Наши гарантии | Агентство INTLSEO,INTLSEO предлагает гарантии на все свои SEO услуги. Мы уверены в эффективности наших методов и готовы гарантировать вам достижение результатов. Узнайте больше о наших условиях и защитите свои инвестиции в SEO.,Гарантии,684,True,Missing canonical on content-like 200 pages,count=206,SEO_DECISION,Add self-referencing canonical on templates
CANON-MISSING,MEDIUM,CANONICAL,https://i-seo.su/report-hub/,other,200,True,,Обзор проектов — i-SEO Report Hub (Демо v0.4),,i-SEO Report Hub,0,False,Missing canonical on content-like 200 pages,count=206,SEO_DECISION,Add self-referencing canonical on templates
CANON-MISSING,MEDIUM,CANONICAL,https://i-seo.su/varvara-new.php,other,200,False,,VVR-Searcher,,,0,False,Missing canonical on content-like 200 pages,count=206,SEO_DECISION,Add self-referencing canonical on templates
CANON-MISSING,MEDIUM,CANONICAL,https://i-seo.su/services/seo.html,static_service,200,True,,Заказать SEO продвижение сайтов в Москве — поисковая оптимизация | INTLSEO,Закажите SEO продвижение сайта в Москве с гарантией результата. Выводим в ТОП Яндекс и Google. Прозрачная стоимость от 39 000 ₽/мес. Бесплатный аудит — прямо сейчас!,SEO продвижение сайтов,684,True,Missing canonical on content-like 200 pages,count=206,SEO_DECISION,Add self-referencing canonical on templates
CANON-MISSING,MEDIUM,CANONICAL,https://i-seo.su/services/seo/b-regionakh.html,static_service,200,True,,SEO продвижение сайта в регионах России — под ключ | INTLSEO,"Продвигаем сайты в регионах РФ: настройка гео-меток, локальных сниппетов, Яндекс.Справочника. Выводим в ТОП даже в малых городах. Бесплатный аудит для региональных проектов!",SEO продвижение в регионах,684,True,Missing canonical on content-like 200 pages,count=206,SEO_DECISION,Add self-referencing canonical on templates
CANON-MISSING,MEDIUM,CANONICAL,https://i-seo.su/cases/aaa-limo.html,static,200,True,,SEO Кейс AAA limo - Аренда лимузинов США | INTLSEO,"Задача заключалась в увеличении видимости в поисковых системах и привлечении большего числа заказов. Мы оптимизировали контент, улучшили технические параметры сайта и параллельно запустили рекламу Google Ads усилили маркетинговые стратегии, что позволило существенно повысить позиции и привлечь новых клиентов.",Аренда лимузинов США AAA limo,39,True,Missing canonical on content-like 200 pages,count=206,SEO_DECISION,Add self-referencing canonical on templates
CANON-MISSING,MEDIUM,CANONICAL,https://i-seo.su/cases/agran.html,static,200,True,,SEO Кейс производителя кровельных материалов | INTLSEO,"Целью было повышение видимости в поисковых системах и увеличение числа заявок через сайт. Мы оптимизировали контент, улучшили технические аспекты сайта и внедрили стратегии по улучшению внешних ссылок, что значительно увеличило количество клиентов.",Производитель кровельных материалов,38,True,Missing canonical on content-like 200 pages,count=206,SEO_DECISION,Add self-referencing canonical on templates
CANON-MISSING,MEDIUM,CANONICAL,https://i-seo.su/cases/alfafit.html,static,200,True,,SEO Кейс Online-магазина спортивного оборудованя | INTLSEO,"Цель заключалась в увеличении видимости и количества заказов через сайт. Мы провели комплексную SEO-оптимизацию, улучшили структуру контента и улучшили технические параметры сайта, что позволило улучшить позиции и привлечь больше покупателей.",Online-магазин спортивного оборудованя,38,True,Missing canonical on content-like 200 pages,count=206,SEO_DECISION,Add self-referencing canonical on templates
CANON-MISSING,MEDIUM,CANONICAL,https://i-seo.su/cases/altexa.html,static,200,True,,SEO Кейс Altexa - Юридическая компания | INTLSEO,"Юридическая компания Altexa — задача заключалась в росте видимости и количества обращений через сайт. Мы провели техническую оптимизацию, улучшили контент и внедрили стратегии по увеличению количества внешних ссылок, что дало отличный результат.",Юридическая компания Altexa,39,True,Missing canonical on content-like 200 pages,count=206,SEO_DECISION,Add self-referencing canonical on templates
CANON-MISSING,MEDIUM,CANONICAL,https://i-seo.su/cases/apk.html,static,200,True,,SEO Кейс APKdatamod - Агрегатор мобильных игр | INTLSEO,"APKdatamod — сайт с мобильными играми для Android. Мы провели оптимизацию контента, улучшили структуру сайта и внедрили SEO-стратегии, что позволило значительно повысить позиции и привлечь больше пользователей.",Агрегатор мобильных игр APKdatamod,38,True,Missing canonical on content-like 200 pages,count=206,SEO_DECISION,Add self-referencing canonical on templates
CANON-MISSING,MEDIUM,CANONICAL,https://i-seo.su/cases/aqua-house.html,static,200,True,,SEO Кейс Online-магазина фильтров для воды | INTLSEO,"Интернет-магазин фильтров для воды — задача заключалась в увеличении количества заказов и улучшении видимости в поисковых системах по Москве. Мы провели оптимизацию сайта, улучшили структуру и контент.",Интернет-магазин фильтров для воды,38,True,Missing canonical on content-like 200 pages,count=206,SEO_DECISION,Add self-referencing canonical on templates
