"keyword_id","phrase","group","decision","reason","commercial_conf","source"
"kw-corv01-disc-2339","1с розница подключение тс пиот","CORV-G08-01","ACTIVE COMMERCIAL","ACTIVE: «1с розница подключение тс пиот» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: розница, подключение, пиот.","HIGH","retained_from_v6"
"kw-corv01-disc-2332","настройка подключения к тс пиот 1с","CORV-G08-01","ACTIVE COMMERCIAL","ACTIVE: «настройка подключения к тс пиот 1с» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: настройка, подключения, пиот.","HIGH","retained_from_v6"
"kw-corv01-disc-2351","настройка подключения к тс пиот 1с розница","CORV-G08-01","ACTIVE COMMERCIAL","ACTIVE: «настройка подключения к тс пиот 1с розница» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: настройка, подключения, пиот, розница.","HIGH","retained_from_v6"
"kw-corv01-disc-2318","настройка тс пиот в 1с розница","CORV-G08-01","ACTIVE COMMERCIAL","ACTIVE: «настройка тс пиот в 1с розница» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: настройка, пиот, розница.","HIGH","retained_from_v6"
"kw-corv01-disc-2320","настройка тс пиот в 1с розница 2.3","CORV-G08-01","CONTROLLED TEST — JUSTIFIED","controlled_test_justified: Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «настройка тс пиот в 1с розниц","CONTROLLED","retained_from_v6"
"kw-corv01-disc-2363","настройка тс пиот в 1с розница 3","CORV-G08-01","CONTROLLED TEST — JUSTIFIED","controlled_test_justified: Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «настройка тс пиот в 1с розниц","CONTROLLED","retained_from_v6"
"kw-corv01-disc-2342","настройка тс пиот в 1с розница 3.0","CORV-G08-01","CONTROLLED TEST — JUSTIFIED","controlled_test_justified: Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «настройка тс пиот в 1с розниц","CONTROLLED","retained_from_v6"
"kw-corv01-disc-2336","настройка тс пиот в 1с унф","CORV-G08-01","ACTIVE COMMERCIAL","ACTIVE: «настройка тс пиот в 1с унф» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: настройка, пиот, унф.","HIGH","retained_from_v6"
"kw-corv01-disc-2324","настройка тс пиот в 1с ут","CORV-G08-01","ACTIVE COMMERCIAL","ACTIVE: «настройка тс пиот в 1с ут» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: настройка, пиот.","HIGH","retained_from_v6"
"kw-corv01-disc-2331","настройка тс пиот в 1с ут 11.5","CORV-G08-01","ACTIVE COMMERCIAL","ACTIVE: «настройка тс пиот в 1с ут 11.5» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: настройка, пиот, 11.5.","HIGH","retained_from_v6"
"kw-corv01-disc-2334","не удалось подключиться к тс пиоту 1с","CORV-G08-01","ACTIVE COMMERCIAL","ACTIVE: «не удалось подключиться к тс пиоту 1с» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: удалось, подключиться, пиоту.","HIGH","retained_from_v6"
"kw-corv01-disc-2321","подключение тс пиот к 1с","CORV-G08-01","ACTIVE COMMERCIAL","ACTIVE: «подключение тс пиот к 1с» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: подключение, пиот.","HIGH","retained_from_v6"
"kw-corv01-disc-2316","тс пиот 1с розница 2.3","CORV-G08-01","CONTROLLED TEST — JUSTIFIED","controlled_test_justified: Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «тс пиот 1с розница 2.3».","CONTROLLED","retained_from_v6"
"kw-corv01-disc-2338","тс пиот 1с розница 3","CORV-G08-01","CONTROLLED TEST — JUSTIFIED","controlled_test_justified: Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «тс пиот 1с розница 3».","CONTROLLED","retained_from_v6"
"kw-corv01-disc-2322","тс пиот 1с розница 3.0","CORV-G08-01","CONTROLLED TEST — JUSTIFIED","controlled_test_justified: Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «тс пиот 1с розница 3.0».","CONTROLLED","retained_from_v6"
"kw-corv01-disc-2329","тс пиот и 1с розница","CORV-G08-01","CONTROLLED TEST — JUSTIFIED","controlled_test_justified: Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «тс пиот и 1с розница».","CONTROLLED","retained_from_v6"
"kw-corv01-disc-2315","тс пиот настройка в 1с","CORV-G08-01","ACTIVE COMMERCIAL","ACTIVE: «тс пиот настройка в 1с» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: пиот, настройка.","HIGH","retained_from_v6"
"kw-corv01-disc-1257","тс пиот честный знак 1с розница","CORV-G08-01","CONTROLLED TEST — JUSTIFIED","controlled_test_justified: Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «тс пиот честный знак 1с розни","CONTROLLED","retained_from_v6"
"kw-corv01-disc-2317","1с ут тс пиот","CORV-G08-02","ACTIVE COMMERCIAL","ACTIVE: «1с ут тс пиот» — заказ услуги «Интеграция ТС ПИОТ с 1С»; ключевые сигналы: пиот.","HIGH","retained_from_v6"
"kw-corv01-disc-2325","модуль тс пиот 1с","CORV-G08-02","ACTIVE COMMERCIAL","ACTIVE: «модуль тс пиот 1с» — заказ услуги «Интеграция ТС ПИОТ с 1С»; ключевые сигналы: модуль, пиот.","HIGH","retained_from_v6"
"kw-corv01-disc-2327","тс пиот 1с атол","CORV-G08-02","ACTIVE COMMERCIAL","ACTIVE: «тс пиот 1с атол» — заказ услуги «Интеграция ТС ПИОТ с 1С»; ключевые сигналы: пиот, атол.","HIGH","retained_from_v6"
"kw-corv01-disc-2333","тс пиот 1с бухгалтерия","CORV-G08-02","ACTIVE COMMERCIAL","ACTIVE: «тс пиот 1с бухгалтерия» — заказ услуги «Интеграция ТС ПИОТ с 1С»; ключевые сигналы: пиот, бухгалтерия.","HIGH","retained_from_v6"
"kw-corv01-disc-2323","тс пиот 1с касса","CORV-G08-02","ACTIVE COMMERCIAL","ACTIVE: «тс пиот 1с касса» — заказ услуги «Интеграция ТС ПИОТ с 1С»; ключевые сигналы: пиот, касса.","HIGH","retained_from_v6"
"kw-corv01-disc-2337","тс пиот 1с рмк","CORV-G08-02","ACTIVE COMMERCIAL","ACTIVE: «тс пиот 1с рмк» — заказ услуги «Интеграция ТС ПИОТ с 1С»; ключевые сигналы: пиот, рмк.","HIGH","retained_from_v6"
"kw-corv01-disc-2328","тс пиот в 1с унф","CORV-G08-02","ACTIVE COMMERCIAL","ACTIVE: «тс пиот в 1с унф» — заказ услуги «Интеграция ТС ПИОТ с 1С»; ключевые сигналы: пиот, унф.","HIGH","retained_from_v6"
"kw-corv01-disc-2340","тс пиот как установить в 1с","CORV-G08-02","ACTIVE COMMERCIAL","ACTIVE: «тс пиот как установить в 1с» — заказ услуги «Интеграция ТС ПИОТ с 1С»; ключевые сигналы: пиот, как, установить.","HIGH","retained_from_v6"
"kw-corv01-disc-2319","тс пиот установка 1с","CORV-G08-02","ACTIVE COMMERCIAL","ACTIVE: «тс пиот установка 1с» — заказ услуги «Интеграция ТС ПИОТ с 1С»; ключевые сигналы: пиот, установка.","HIGH","retained_from_v6"
"kw-corv01-disc-1163","тс пиот честный знак 1с","CORV-G08-02","CONTROLLED TEST — JUSTIFIED","controlled_test_justified: Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «тс пиот честный знак 1с».","CONTROLLED","retained_from_v6"
"kw-corv01-disc-2258","1с маркировка пива","CORV-G06-05","ACTIVE COMMERCIAL","ACTIVE: «1с маркировка пива» — заказ услуги «Маркировка напитков в 1С»; ключевые сигналы: маркировка, пива.","HIGH","retained_from_v6"
"kw-corv01-016","маркировка пива 1с","CORV-G06-05","ACTIVE COMMERCIAL","ACTIVE: «маркировка пива 1с» — заказ услуги «Маркировка напитков в 1С»; ключевые сигналы: маркировка, пива.","HIGH","retained_from_v6"
"kw-corv01-disc-2259","1с маркировка воды","CORV-G06-06","ACTIVE COMMERCIAL","ACTIVE: «1с маркировка воды» — заказ услуги «Маркировка воды в 1С»; ключевые сигналы: маркировка, воды.","HIGH","retained_from_v6"
"kw-corv01-017","маркировка воды 1с","CORV-G06-06","ACTIVE COMMERCIAL","ACTIVE: «маркировка воды 1с» — заказ услуги «Маркировка воды в 1С»; ключевые сигналы: маркировка, воды.","HIGH","retained_from_v6"
"kw-corv01-disc-1024","маркировка воды в 1с","CORV-G06-06","ACTIVE COMMERCIAL","ACTIVE: «маркировка воды в 1с» — заказ услуги «Маркировка воды в 1С»; ключевые сигналы: маркировка, воды.","HIGH","retained_from_v6"
"seed-CORV-G06-07-core-маркировка-к","маркировка косметики 1с","CORV-G06-07","ACTIVE COMMERCIAL","ACTIVE: «маркировка косметики 1с» — заказ услуги «Маркировка косметики в 1С»; ключевые сигналы: маркировка, косметики.","HIGH","retained_from_v6"
"kw-corv01-disc-2260","маркировка лекарств","CORV-G06-08","ACTIVE COMMERCIAL","ACTIVE: «маркировка лекарств» — заказ услуги «Маркировка лекарств в 1С»; ключевые сигналы: маркировка, лекарств.","HIGH","retained_from_v6"
"kw-corv01-018","маркировка лекарств 1с","CORV-G06-08","ACTIVE COMMERCIAL","ACTIVE: «маркировка лекарств 1с» — заказ услуги «Маркировка лекарств в 1С»; ключевые сигналы: маркировка, лекарств.","HIGH","retained_from_v6"
"kw-corv01-disc-2271","маркировка лекарств аптека","CORV-G06-08","CONTROLLED TEST — JUSTIFIED","controlled_test_justified: Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «маркировка лекарств аптека».","CONTROLLED","retained_from_v6"
"kw-corv01-disc-2267","маркировка упаковки лекарств","CORV-G06-08","ACTIVE COMMERCIAL","ACTIVE: «маркировка упаковки лекарств» — заказ услуги «Маркировка лекарств в 1С»; ключевые сигналы: маркировка, упаковки, лекарств.","HIGH","retained_from_v6"
"kw-corv01-disc-2276","проверка маркировки лекарств","CORV-G06-08","ACTIVE COMMERCIAL","ACTIVE: «проверка маркировки лекарств» — заказ услуги «Маркировка лекарств в 1С»; ключевые сигналы: проверка, маркировки, лекарств.","HIGH","retained_from_v6"
"kw-corv01-disc-2268","систему маркировки лекарств","CORV-G06-08","ACTIVE COMMERCIAL","ACTIVE: «систему маркировки лекарств» — заказ услуги «Маркировка лекарств в 1С»; ключевые сигналы: систему, маркировки, лекарств.","HIGH","retained_from_v6"
"kw-corv01-disc-2261","честный знак маркировка лекарств","CORV-G06-08","ACTIVE COMMERCIAL","ACTIVE: «честный знак маркировка лекарств» — заказ услуги «Маркировка лекарств в 1С»; ключевые сигналы: честный, знак, маркировка, лекарств.","HIGH","retained_from_v6"
"seed-CORV-G06-09-core-маркировка-б","маркировка бытовой химии 1с","CORV-G06-09","ACTIVE COMMERCIAL","ACTIVE: «маркировка бытовой химии 1с» — заказ услуги «Маркировка бытовой химии в 1С»; ключевые сигналы: маркировка, бытовой, химии.","HIGH","retained_from_v6"
"kw-corv01-disc-2295","автозапчасти маркировка честный знак","CORV-G06-10","ACTIVE COMMERCIAL","ACTIVE: «автозапчасти маркировка честный знак» — заказ услуги «Маркировка автозапчастей в 1С»; ключевые сигналы: автозапчасти, маркировка, честный, знак.","HIGH","retained_from_v6"
"kw-corv01-disc-2293","маркировка автозапчастей","CORV-G06-10","ACTIVE COMMERCIAL","ACTIVE: «маркировка автозапчастей» — заказ услуги «Маркировка автозапчастей в 1С»; ключевые сигналы: маркировка, автозапчастей.","HIGH","retained_from_v6"
"kw-corv01-020","маркировка автозапчастей 1с","CORV-G06-10","ACTIVE COMMERCIAL","ACTIVE: «маркировка автозапчастей 1с» — заказ услуги «Маркировка автозапчастей в 1С»; ключевые сигналы: маркировка, автозапчастей.","HIGH","retained_from_v6"
"kw-corv01-disc-2294","маркировка автозапчастей честный","CORV-G06-10","ACTIVE COMMERCIAL","ACTIVE: «маркировка автозапчастей честный» — заказ услуги «Маркировка автозапчастей в 1С»; ключевые сигналы: маркировка, автозапчастей, честный.","HIGH","retained_from_v6"
"kw-corv01-disc-2309","маркировка остатков автозапчастей","CORV-G06-10","ACTIVE COMMERCIAL","ACTIVE: «маркировка остатков автозапчастей» — заказ услуги «Маркировка автозапчастей в 1С»; ключевые сигналы: маркировка, остатков, автозапчастей.","HIGH","retained_from_v6"
"kw-corv01-disc-2305","маркировка товара автозапчасти","CORV-G06-10","ACTIVE COMMERCIAL","ACTIVE: «маркировка товара автозапчасти» — заказ услуги «Маркировка автозапчастей в 1С»; ключевые сигналы: маркировка, товара, автозапчасти.","HIGH","retained_from_v6"
"kw-corv01-disc-2314","нужна ли маркировка на автозапчасти","CORV-G06-10","ACTIVE COMMERCIAL","ACTIVE: «нужна ли маркировка на автозапчасти» — заказ услуги «Маркировка автозапчастей в 1С»; ключевые сигналы: нужна, маркировка, автозапчасти.","HIGH","retained_from_v6"
"kw-corv01-disc-2306","опубликован проект по маркировке автозапчастей","CORV-G06-10","ACTIVE COMMERCIAL","ACTIVE: «опубликован проект по маркировке автозапчастей» — заказ услуги «Маркировка автозапчастей в 1С»; ключевые сигналы: опубликован, проект, маркировке, автозапчастей.","HIGH","retained_from_v6"
"kw-corv01-disc-993","в 1с маркировка моторные масла","CORV-G06-11","ACTIVE COMMERCIAL","ACTIVE: «в 1с маркировка моторные масла» — заказ услуги «Маркировка масел в 1С»; ключевые сигналы: маркировка, моторные, масла.","HIGH","retained_from_v6"
"seed-CORV-G06-11-core-маркировка-м","маркировка масел 1с","CORV-G06-11","ACTIVE COMMERCIAL","ACTIVE: «маркировка масел 1с» — заказ услуги «Маркировка масел в 1С»; ключевые сигналы: маркировка, масел.","HIGH","retained_from_v6"
"seed-CORV-G06-12-core-маркировка-т","маркировка техники 1с","CORV-G06-12","ACTIVE COMMERCIAL","ACTIVE: «маркировка техники 1с» — заказ услуги «Маркировка техники в 1С»; ключевые сигналы: маркировка, техники.","HIGH","retained_from_v6"
"seed-CORV-G06-13-core-маркировка-с","маркировка строительных материалов 1с","CORV-G06-13","ACTIVE COMMERCIAL","ACTIVE: «маркировка строительных материалов 1с» — заказ услуги «Маркировка стройматериалов в 1С»; ключевые сигналы: маркировка, строительных, материалов.","HIGH","retained_from_v6"
"kw-corv01-disc-1100","1с 8.3 честный знак","CORV-G06-03","CONTROLLED TEST — JUSTIFIED","controlled_test_justified: Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «1с 8.3 честный знак».","CONTROLLED","retained_from_v6"
"kw-corv01-disc-1094","1с бухгалтерия честный знак","CORV-G06-03","ACTIVE COMMERCIAL","ACTIVE: «1с бухгалтерия честный знак» — заказ услуги «Честный знак в 1С»; ключевые сигналы: бухгалтерия, честный, знак.","HIGH","retained_from_v6"
"kw-corv01-disc-1102","1с номенклатура честный знак","CORV-G06-03","ACTIVE COMMERCIAL","ACTIVE: «1с номенклатура честный знак» — заказ услуги «Честный знак в 1С»; ключевые сигналы: номенклатура, честный, знак.","HIGH","retained_from_v6"
"kw-corv01-disc-1103","1с торговля честный знак","CORV-G06-03","ACTIVE COMMERCIAL","ACTIVE: «1с торговля честный знак» — заказ услуги «Честный знак в 1С»; ключевые сигналы: торговля, честный, знак.","HIGH","retained_from_v6"
"kw-corv01-disc-1095","1с унф честный знак","CORV-G06-03","ACTIVE COMMERCIAL","ACTIVE: «1с унф честный знак» — заказ услуги «Честный знак в 1С»; ключевые сигналы: унф, честный, знак.","HIGH","retained_from_v6"
"kw-corv01-disc-1001","агрегация кодов маркировки честный знак в 1с","CORV-G06-03","ACTIVE COMMERCIAL","ACTIVE: «агрегация кодов маркировки честный знак в 1с» — заказ услуги «Честный знак в 1С»; ключевые сигналы: агрегация, кодов, маркировки, честный, знак.","HIGH","retained_from_v6"
"kw-corv01-disc-1098","интеграция 1с и честный знак","CORV-G06-03","ACTIVE COMMERCIAL","ACTIVE: «интеграция 1с и честный знак» — заказ услуги «Честный знак в 1С»; ключевые сигналы: интеграция, честный, знак.","HIGH","retained_from_v6"
"kw-corv01-disc-903","коды маркировки честный знак в 1с","CORV-G06-03","ACTIVE COMMERCIAL","ACTIVE: «коды маркировки честный знак в 1с» — заказ услуги «Честный знак в 1С»; ключевые сигналы: коды, маркировки, честный, знак.","HIGH","retained_from_v6"
"kw-corv01-disc-1104","лм честный знак 1с","CORV-G06-03","ACTIVE COMMERCIAL","ACTIVE: «лм честный знак 1с» — заказ услуги «Честный знак в 1С»; ключевые сигналы: честный, знак.","HIGH","retained_from_v6"
"kw-corv01-disc-1039","маркировка остатков честный знак в 1с","CORV-G06-03","ACTIVE COMMERCIAL","ACTIVE: «маркировка остатков честный знак в 1с» — заказ услуги «Честный знак в 1С»; ключевые сигналы: маркировка, остатков, честный, знак.","HIGH","retained_from_v6"
"kw-corv01-disc-920","маркировка товаров в 1с честный знак","CORV-G06-03","ACTIVE COMMERCIAL","ACTIVE: «маркировка товаров в 1с честный знак» — заказ услуги «Честный знак в 1С»; ключевые сигналы: маркировка, товаров, честный, знак.","HIGH","retained_from_v6"
"kw-corv01-disc-899","маркировка честный знак в 1с","CORV-G06-03","ACTIVE COMMERCIAL","ACTIVE: «маркировка честный знак в 1с» — заказ услуги «Честный знак в 1С»; ключевые сигналы: маркировка, честный, знак.","HIGH","retained_from_v6"
"kw-corv01-disc-984","маркировка честный знак в 1с бухгалтерия","CORV-G06-03","ACTIVE COMMERCIAL","ACTIVE: «маркировка честный знак в 1с бухгалтерия» — заказ услуги «Честный знак в 1С»; ключевые сигналы: маркировка, честный, знак, бухгалтерия.","HIGH","retained_from_v6"
"kw-corv01-disc-1029","маркировка честный знак в 1с розница","CORV-G06-03","ACTIVE COMMERCIAL","ACTIVE: «маркировка честный знак в 1с розница» — заказ услуги «Честный знак в 1С»; ключевые сигналы: маркировка, честный, знак, розница.","HIGH","retained_from_v6"
"kw-corv01-disc-973","маркировка честный знак в 1с унф","CORV-G06-03","ACTIVE COMMERCIAL","ACTIVE: «маркировка честный знак в 1с унф» — заказ услуги «Честный знак в 1С»; ключевые сигналы: маркировка, честный, знак, унф.","HIGH","retained_from_v6"
"kw-corv01-disc-975","маркировка честный знак в 1с ут","CORV-G06-03","ACTIVE COMMERCIAL","ACTIVE: «маркировка честный знак в 1с ут» — заказ услуги «Честный знак в 1С»; ключевые сигналы: маркировка, честный, знак.","HIGH","retained_from_v6"
"kw-corv01-disc-1006","маркировка честный знак в 1с erp","CORV-G06-03","ACTIVE COMMERCIAL","ACTIVE: «маркировка честный знак в 1с erp» — заказ услуги «Честный знак в 1С»; ключевые сигналы: маркировка, честный, знак, erp.","HIGH","retained_from_v6"
"kw-corv01-disc-1096","настройка честного знака в 1с","CORV-G06-03","ACTIVE COMMERCIAL","ACTIVE: «настройка честного знака в 1с» — заказ услуги «Честный знак в 1С»; ключевые сигналы: настройка, честного, знака.","HIGH","retained_from_v6"
"kw-corv01-disc-988","работа с маркировкой честный знак в 1с","CORV-G06-03","ACTIVE COMMERCIAL","ACTIVE: «работа с маркировкой честный знак в 1с» — заказ услуги «Честный знак в 1С»; ключевые сигналы: работа, маркировкой, честный, знак.","HIGH","retained_from_v6"
"kw-corv01-disc-1101","работа с честным знаком в 1с","CORV-G06-03","ACTIVE COMMERCIAL","ACTIVE: «работа с честным знаком в 1с» — заказ услуги «Честный знак в 1С»; ключевые сигналы: работа, честным, знаком.","HIGH","retained_from_v6"
"kw-corv01-008","честный знак 1с","CORV-G06-03","ACTIVE COMMERCIAL","ACTIVE: «честный знак 1с» — заказ услуги «Честный знак в 1С»; ключевые сигналы: честный, знак.","HIGH","retained_from_v6"
"kw-corv01-disc-1092","честный знак в 1с","CORV-G06-03","ACTIVE COMMERCIAL","ACTIVE: «честный знак в 1с» — заказ услуги «Честный знак в 1С»; ключевые сигналы: честный, знак.","HIGH","retained_from_v6"
"kw-corv01-disc-1099","честный знак в 1с ут","CORV-G06-03","ACTIVE COMMERCIAL","ACTIVE: «честный знак в 1с ут» — заказ услуги «Честный знак в 1С»; ключевые сигналы: честный, знак.","HIGH","retained_from_v6"
"kw-corv01-disc-1093","честный знак модуль 1с","CORV-G06-03","ACTIVE COMMERCIAL","ACTIVE: «честный знак модуль 1с» — заказ услуги «Честный знак в 1С»; ключевые сигналы: честный, знак, модуль.","HIGH","retained_from_v6"
"kw-corv01-disc-1097","честный знак через 1с","CORV-G06-03","ACTIVE COMMERCIAL","ACTIVE: «честный знак через 1с» — заказ услуги «Честный знак в 1С»; ключевые сигналы: честный, знак, через.","HIGH","retained_from_v6"
"seed-CORV-G06-04-core-ошибка-марки","ошибка маркировки 1с","CORV-G06-04","ACTIVE COMMERCIAL","ACTIVE: «ошибка маркировки 1с» — заказ услуги «Устранение ошибок маркировки в 1С»; ключевые сигналы: ошибка, маркировки.","HIGH","retained_from_v6"
"kw-corv01-disc-968","1с маркировка в производстве","CORV-G06-01","ACTIVE COMMERCIAL","REASSIGN: «1с маркировка в производстве» из CORV-G06-06 в CORV-G06-01 — pattern маркиров.*(производств|ввод в оборот) → general owner CORV-G06-01.","HIGH","retained_from_v6"
"kw-corv01-disc-922","1с маркировка ввод в оборот","CORV-G06-01","ACTIVE COMMERCIAL","REASSIGN: «1с маркировка ввод в оборот» из CORV-G06-06 в CORV-G06-01 — pattern маркиров.*(производств|ввод в оборот) → general owner CORV-G06-01.","HIGH","retained_from_v6"
"kw-corv01-disc-1067","внедрение маркировки в 1с","CORV-G06-01","ACTIVE COMMERCIAL","ACTIVE: «внедрение маркировки в 1с» — заказ услуги «Подключение маркировки в 1С»; ключевые сигналы: внедрение, маркировки.","HIGH","retained_from_v6"
"kw-corv01-007","маркировка в 1с","CORV-G06-01","ACTIVE COMMERCIAL","ACTIVE: «маркировка в 1с» — заказ услуги «Подключение маркировки в 1С»; ключевые сигналы: маркировка.","HIGH","retained_from_v6"
"kw-corv01-disc-914","настроить маркировку в 1с","CORV-G06-01","ACTIVE COMMERCIAL","ACTIVE: «настроить маркировку в 1с» — заказ услуги «Подключение маркировки в 1С»; ключевые сигналы: настроить, маркировку.","HIGH","retained_from_v6"
