"keyword_id","phrase","assigned_group","literal_interpretation","user_need","paid_service","alt_interpretation","commercial_conf","group_fit_conf","ad_fit","landing_fit","decision","phrase_reason","review_status"
"kw-corv01-disc-2339","1с розница подключение тс пиот","CORV-G08-01","Дословно: запрос «1с розница подключение тс пиот» в контексте 1С/учётных систем.","Заказ настройки/подключения — «1с розница подключение тс пиот»","Настройка ТС ПИОТ в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «1с розница подключение тс пиот» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: розница, подключение, пиот.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2332","настройка подключения к тс пиот 1с","CORV-G08-01","Дословно: запрос «настройка подключения к тс пиот 1с» в контексте 1С/учётных систем.","Заказ настройки/подключения — «настройка подключения к тс пиот 1с»","Настройка ТС ПИОТ в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «настройка подключения к тс пиот 1с» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: настройка, подключения, пиот.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2351","настройка подключения к тс пиот 1с розница","CORV-G08-01","Дословно: запрос «настройка подключения к тс пиот 1с розница» в контексте 1С/учётных систем.","Заказ настройки/подключения — «настройка подключения к тс пиот 1с розница»","Настройка ТС ПИОТ в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «настройка подключения к тс пиот 1с розница» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: настройка, подключения, пиот, розница.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2318","настройка тс пиот в 1с розница","CORV-G08-01","Дословно: запрос «настройка тс пиот в 1с розница» в контексте 1С/учётных систем.","Заказ настройки/подключения — «настройка тс пиот в 1с розница»","Настройка ТС ПИОТ в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «настройка тс пиот в 1с розница» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: настройка, пиот, розница.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2320","настройка тс пиот в 1с розница 2.3","CORV-G08-01","Дословно: запрос «настройка тс пиот в 1с розница 2.3» в контексте 1С/учётных систем.","Заказ настройки/подключения — «настройка тс пиот в 1с розница 2.3»","Настройка ТС ПИОТ в 1С","Поиск версии конфигурации или документации","MEDIUM","HIGH","match","planned_url_match","CONTROLLED TEST","CONTROLLED TEST: «настройка тс пиот в 1с розница 2.3» — смешанный интент; риск: Поиск версии конфигурации или документации; услуга: Настройка ТС ПИОТ в 1С.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2363","настройка тс пиот в 1с розница 3","CORV-G08-01","Дословно: запрос «настройка тс пиот в 1с розница 3» в контексте 1С/учётных систем.","Заказ настройки/подключения — «настройка тс пиот в 1с розница 3»","Настройка ТС ПИОТ в 1С","Поиск версии конфигурации или документации","MEDIUM","HIGH","match","planned_url_match","CONTROLLED TEST","CONTROLLED TEST: «настройка тс пиот в 1с розница 3» — смешанный интент; риск: Поиск версии конфигурации или документации; услуга: Настройка ТС ПИОТ в 1С.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2342","настройка тс пиот в 1с розница 3.0","CORV-G08-01","Дословно: запрос «настройка тс пиот в 1с розница 3.0» в контексте 1С/учётных систем.","Заказ настройки/подключения — «настройка тс пиот в 1с розница 3.0»","Настройка ТС ПИОТ в 1С","Поиск версии конфигурации или документации","MEDIUM","HIGH","match","planned_url_match","CONTROLLED TEST","CONTROLLED TEST: «настройка тс пиот в 1с розница 3.0» — смешанный интент; риск: Поиск версии конфигурации или документации; услуга: Настройка ТС ПИОТ в 1С.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2336","настройка тс пиот в 1с унф","CORV-G08-01","Дословно: запрос «настройка тс пиот в 1с унф» в контексте 1С/учётных систем.","Заказ настройки/подключения — «настройка тс пиот в 1с унф»","Настройка ТС ПИОТ в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «настройка тс пиот в 1с унф» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: настройка, пиот, унф.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2324","настройка тс пиот в 1с ут","CORV-G08-01","Дословно: запрос «настройка тс пиот в 1с ут» в контексте 1С/учётных систем.","Заказ настройки/подключения — «настройка тс пиот в 1с ут»","Настройка ТС ПИОТ в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «настройка тс пиот в 1с ут» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: настройка, пиот.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2331","настройка тс пиот в 1с ут 11.5","CORV-G08-01","Дословно: запрос «настройка тс пиот в 1с ут 11.5» в контексте 1С/учётных систем.","Заказ настройки/подключения — «настройка тс пиот в 1с ут 11.5»","Настройка ТС ПИОТ в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «настройка тс пиот в 1с ут 11.5» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: настройка, пиот, 11.5.","SEMANTICALLY REVIEWED"
