source_term,canonical_term,post_id,slug,category,short_definition,full_content_source,synonyms,related_terms,seo_title,meta_description,verification_status,research_notes_ref,wordpress_apply_status
SEO,SEO,2670,seo,SEO fundamentals,"SEO — комплекс работ по улучшению сайта для поисковых систем и пользователей: технической доступности, содержания, структуры и репутационных сигналов. Цель — получать релевантные переходы из органической выдачи.",content/glossary/batch-01/seo.md,поисковая оптимизация; продвижение сайта,Органический трафик; Техническая оптимизация; Семантическое ядро; Поисковая выдача,SEO: что это такое простыми словами,"Разбираем, что такое SEO, из каких работ состоит поисковая оптимизация и чем она отличается от платной рекламы.",Общее определение; алгоритмы ранжирования поисковых систем не заявляются.,ISEO-SU-GLOSSARY-RESEARCH-REGISTER-v1.md,applied
Анкор (анкорный текст),Анкорный текст,2448,ankornyj-tekst,link building,"Анкорный текст — видимая кликабельная часть ссылки. Он подсказывает пользователю, куда ведёт переход, а поисковой системе может дать контекст целевой страницы, если текст естественен и соответствует ссылке.",content/glossary/batch-01/анкорный-текст.md,анкор; текст ссылки,Обратная ссылка; Nofollow; Ссылочный профиль,Анкорный текст: что это и каким бывает,"Что такое анкорный текст, какие бывают анкоры и почему текст ссылки должен быть понятен пользователю.",Определение основано на HTML-механике ссылок; эффект конкретного анкорового профиля не гарантируется.,ISEO-SU-GLOSSARY-RESEARCH-REGISTER-v1.md,applied
Файл robots.txt,robots.txt,2603,robots-txt,technical SEO,"robots.txt — текстовый файл в корне сайта с правилами обхода URL для поисковых роботов. Он задаёт рекомендации по краулингу, но не скрывает данные и сам по себе не гарантирует удаление страницы из индекса.",content/glossary/batch-01/robots.txt.md,протокол исключения роботов,Краулинг; Noindex; Карта сайта; Индексация,robots.txt: что это и как работает,"Объясняем назначение robots.txt, его связь с обходом сайта и отличие от noindex.",Проверено различие между crawl hints и запретом индексации; robots.txt не является средством защиты данных.,ISEO-SU-GLOSSARY-RESEARCH-REGISTER-v1.md,applied
CTR (кликабельность),CTR,2632,ctr,analytics and metrics,"CTR (Click-Through Rate) — доля кликов от числа показов, выраженная в процентах. В поиске показатель помогает оценить, насколько сниппет и позиция страницы соответствуют ожиданию пользователя по запросу.",content/glossary/batch-01/ctr.md,кликабельность; click-through rate,Сниппет; Поисковая выдача; Конверсия; Google Search Console,CTR: что означает кликабельность,"Что такое CTR, как рассчитывается кликабельность и почему её нельзя анализировать без учёта показов и позиции.",Формула метрики проверяема; универсальные нормы CTR не приводятся.,ISEO-SU-GLOSSARY-RESEARCH-REGISTER-v1.md,applied
Семантическое ядро,Семантическое ядро,2570,semanticheskoe-yadro,content and semantics,"Семантическое ядро — структурированный список поисковых запросов, тем и формулировок, связанных с бизнесом сайта. Его используют для планирования разделов, страниц и контента с учётом намерений аудитории.",content/glossary/batch-01/семантическое-ядро.md,семантика; список ключевых запросов,Поисковый интент; Органический трафик; SEO; Сниппет,Семантическое ядро: что это в SEO,"Что входит в семантическое ядро, зачем группировать запросы и как семантика связана со структурой сайта.",Методический термин; объём и состав ядра зависят от тематики.,ISEO-SU-GLOSSARY-RESEARCH-REGISTER-v1.md,applied
Pay-per-Click (PPC),PPC,2663,ppc,contextual advertising,"PPC (Pay-per-Click) — модель интернет-рекламы, при которой рекламодатель обычно платит за переход по объявлению. Её применяют в поисковой, медийной и товарной рекламе, контролируя ставки, аудитории и бюджет.",content/glossary/batch-01/ppc.md,оплата за клик; Pay-per-Click,CTR; Конверсия; Органический трафик,PPC-реклама: что такое оплата за клик,Разбираем модель PPC: как работает оплата за клик и чем контекстная реклама отличается от органического поиска.,Общее описание модели; условия оплаты зависят от конкретной рекламной системы.,ISEO-SU-GLOSSARY-RESEARCH-REGISTER-v1.md,applied
GEO,GEO,2642,geo,AI search and GEO,"GEO (Generative Engine Optimization) — развивающийся отраслевой термин для практик, повышающих понятность и цитируемость материалов в генеративных поисковых и ответных системах. Это не геотаргетинг и не устоявшийся стандарт.",content/glossary/batch-01/geo.md,Generative Engine Optimization; оптимизация для генеративных систем,SEO; E-E-A-T; Семантическое ядро; Органический трафик,GEO: что такое Generative Engine Optimization,"Что означает GEO в контексте генеративного поиска, чем оно отличается от геотаргетинга и почему термин пока не стандартизирован.",Термин отраслевой и provisional; единый стандарт и алгоритмы генеративных систем не подтверждены.,ISEO-SU-GLOSSARY-RESEARCH-REGISTER-v1.md,applied
Обратная ссылка (backlink),Обратная ссылка,2534,obratnaya-ssylka,link building,"Обратная ссылка — гиперссылка с одного сайта на страницу другого сайта. Она может приводить посетителей и служить сигналом связи между ресурсами, но ценность ссылки зависит от её уместности, источника и технических атрибутов.",content/glossary/batch-01/обратная-ссылка.md,backlink; внешняя входящая ссылка,Анкорный текст; Nofollow; Ссылочный профиль,Обратная ссылка: что такое backlink,"Что называют обратной ссылкой, почему важен контекст её размещения и как она входит в ссылочный профиль сайта.",Общее определение; влияние отдельной ссылки на ранжирование не предсказывается.,ISEO-SU-GLOSSARY-RESEARCH-REGISTER-v1.md,applied
Отказы (показатель отказов),Показатель отказов,2539,pokazatel-otkazov,analytics and metrics,"Показатель отказов — доля визитов, которые система аналитики относит к отказам по своим правилам. В Яндекс.Метрике «отказ» не тождественен классическому bounce rate, поэтому метрику нужно читать в контексте настроек и сценария.",content/glossary/batch-01/показатель-отказов.md,отказы; bounce rate,Яндекс.Метрика; Конверсия; Органический трафик,Показатель отказов: что это и как трактовать,"Что означает показатель отказов, почему его нельзя считать универсальной оценкой качества страницы и чем метрика Яндекс.Метрики отличается от bounce rate.",Зафиксировано различие терминологии Метрики и classic bounce rate; актуальные правила следует сверять в справке системы.,ISEO-SU-GLOSSARY-RESEARCH-REGISTER-v1.md,applied
Core Web Vitals,Core Web Vitals,2628,core-web-vitals,technical SEO,"Core Web Vitals — набор пользовательских метрик Google: LCP, CLS и INP. Они оценивают загрузку основного контента, визуальную стабильность и отзывчивость интерфейса; историческая FID заменена INP.",content/glossary/batch-01/core-web-vitals.md,основные показатели веб-жизнеспособности,Техническая оптимизация; HTTPS; SEO,"Core Web Vitals: LCP, CLS и INP","Что измеряют Core Web Vitals, чем INP заменил FID и почему показатели пользовательского опыта не являются единственным фактором ранжирования.","Проверен актуальный состав CWV: LCP, CLS, INP; FID указан как исторический.",ISEO-SU-GLOSSARY-RESEARCH-REGISTER-v1.md,applied
E-E-A-T,E-E-A-T,2637,e-e-a-t,SEO fundamentals,"E-E-A-T — концепция из руководств Google для асессоров качества: опыт, экспертность, авторитетность и доверие. Она помогает оценивать качество результатов, но не является числовым показателем или оценкой в Google Search Console.",content/glossary/batch-01/e-e-a-t.md,"Experience, Expertise, Authoritativeness, Trust",GEO; SEO; Органический трафик,E-E-A-T: что означает в SEO,"Разбираем E-E-A-T: опыт, экспертность, авторитетность и доверие. Почему это концепция оценки качества, а не метрика Search Console.","Проверено: E-E-A-T — quality rater concept, не метрика Search Console.",ISEO-SU-GLOSSARY-RESEARCH-REGISTER-v1.md,applied
Канонический URL (canonical),Канонический URL,2500,kanonicheskij-url,technical SEO,"Канонический URL — предпочтительный адрес среди страниц с одинаковым или близким содержанием. Его обычно указывают через link rel=""canonical"", чтобы подсказать поисковой системе, какую версию учитывать основной.",content/glossary/batch-01/канонический-url.md,canonical; каноническая страница,Дубли страниц; Редирект; Индексация,Канонический URL: что такое canonical,"Что такое канонический URL, как rel=""canonical"" помогает работать с дублями и почему он не заменяет 301-редирект.",Проверено принципиальное отличие canonical от 301; canonical является сигналом-подсказкой.,ISEO-SU-GLOSSARY-RESEARCH-REGISTER-v1.md,applied
Индексация,Индексация,2496,indeksacziya,search engines and indexing,"Индексация — обработка и включение информации о странице в базу поисковой системы. Индексируемая страница может участвовать в поиске, но факт индексации не означает высоких позиций или показов по любому запросу.",content/glossary/batch-01/индексация.md,включение в индекс,Краулинг; robots.txt; Noindex; Google Search Console,Индексация сайта: что это означает,"Что такое индексация страниц, чем она отличается от краулинга и почему наличие страницы в индексе не гарантирует позиции.",Общее описание процесса; конкретные критерии включения в индекс не раскрываются поисковыми системами полностью.,ISEO-SU-GLOSSARY-RESEARCH-REGISTER-v1.md,applied
Краулинг,Краулинг,2514,krauling,search engines and indexing,"Краулинг — обход страниц сайта поисковым роботом для обнаружения URL и получения их содержимого. Это этап сбора данных, который не равен индексации и не гарантирует появление страницы в поисковой выдаче.",content/glossary/batch-01/краулинг.md,обход сайта; сканирование роботом,Индексация; robots.txt; Карта сайта,Краулинг: что такое обход сайта роботом,"Объясняем, что такое краулинг, как поисковые роботы находят URL и чем обход сайта отличается от индексации.",Проверено различие crawl и index; частота обхода конкретного сайта не прогнозируется.,ISEO-SU-GLOSSARY-RESEARCH-REGISTER-v1.md,applied
Noindex,Noindex,2662,noindex,technical SEO,"Noindex — директива для поискового робота, сообщающая, что страницу не следует включать в поисковый индекс. Её передают метатегом robots или HTTP-заголовком X-Robots-Tag; это не то же самое, что robots.txt.",content/glossary/batch-01/noindex.md,запрет индексации,Индексация; robots.txt; Канонический URL,Noindex: что это и как применяется,"Что означает noindex, где его задают и почему запрет индексации отличается от запрета обхода в robots.txt.",Проверено различие noindex и robots.txt; способ обработки зависит от поддерживающего директиву робота.,ISEO-SU-GLOSSARY-RESEARCH-REGISTER-v1.md,applied
Карта сайта (sitemap.xml),Карта сайта,2502,karta-sajta,technical SEO,"Карта сайта sitemap.xml — XML-файл со списком URL и дополнительными сведениями о них. Он помогает поисковым системам обнаруживать важные страницы, но не заменяет внутреннюю перелинковку и не гарантирует индексацию.",content/glossary/batch-01/карта-сайта.md,sitemap.xml; XML-карта сайта,Краулинг; Индексация; robots.txt,Карта сайта sitemap.xml: что это,"Что содержит XML-карта сайта, как она помогает поисковым роботам находить URL и почему не гарантирует индексацию.","Общее описание стандарта sitemap; файл является подсказкой, а не гарантией индексации.",ISEO-SU-GLOSSARY-RESEARCH-REGISTER-v1.md,applied
HTTPS,HTTPS,2650,https,security and infrastructure,"HTTPS — защищённая версия HTTP, использующая TLS-шифрование для передачи данных между браузером и сервером. Термин SSL часто используют по привычке, хотя современные защищённые соединения обычно основаны на TLS.",content/glossary/batch-01/https.md,защищённый HTTP; SSL; TLS,Техническая оптимизация; Редирект; Core Web Vitals,HTTPS: что это и зачем сайту,"Что такое HTTPS, как TLS защищает передачу данных и почему SSL — распространённое, но историческое название.",Проверено: HTTPS обеспечивает защиту транспорта; SSL — исторически распространённое название.,ISEO-SU-GLOSSARY-RESEARCH-REGISTER-v1.md,applied
Метатеги,Метатеги,2522,metategi,technical SEO,"Метатеги — HTML-элементы в разделе head, передающие браузерам, поисковым системам и сервисам сведения о странице: описание, правила для роботов, кодировку и другие параметры. Они не заменяют качественный контент.",content/glossary/batch-01/метатеги.md,meta tags; метаданные страницы,Сниппет; Noindex; Канонический URL,Метатеги: что это и зачем нужны,"Какие бывают метатеги, как title и description связаны со сниппетом и почему meta keywords не является современным рычагом ранжирования.","Зафиксировано, что meta keywords не является современным фактором оптимизации; сниппет формируется поиском динамически.",ISEO-SU-GLOSSARY-RESEARCH-REGISTER-v1.md,applied
Органический трафик,Органический трафик,2537,organicheskij-trafik,SEO fundamentals,"Органический трафик — переходы на сайт из неоплаченных результатов поисковых систем. Его объём зависит от видимости страниц, спроса, соответствия запросам и поведения аудитории, а не только от занимаемых позиций.",content/glossary/batch-01/органический-трафик.md,органика; поисковый трафик,SEO; Поисковая выдача; Конверсия; CTR,Органический трафик: что это такое,"Что называют органическим трафиком, чем он отличается от рекламы и какие данные нужны для оценки его качества.",Определение канала; атрибуция конкретного визита зависит от настроек аналитики.,ISEO-SU-GLOSSARY-RESEARCH-REGISTER-v1.md,applied
Поисковая выдача (SERP),Поисковая выдача,2549,poiskovaya-vydacha,search engines and indexing,"Поисковая выдача, или SERP, — страница результатов поисковой системы по конкретному запросу. Она может содержать органические ссылки, рекламу, карты, ответы, товарные блоки и другие форматы, зависящие от запроса.",content/glossary/batch-01/поисковая-выдача.md,SERP; результаты поиска,Сниппет; CTR; Индексация; Органический трафик,SERP: что такое поисковая выдача,"Что означает SERP, какие элементы бывают в поисковой выдаче и почему состав результатов зависит от запроса пользователя.","Общее определение; состав SERP меняется по поисковой системе, запросу и региону.",ISEO-SU-GLOSSARY-RESEARCH-REGISTER-v1.md,applied
Интент,Поисковый интент,2497,poiskovyj-intent,content and semantics,"Поисковый интент — предполагаемая цель пользователя за запросом: получить информацию, найти сайт, сравнить варианты или совершить действие. Понимание интента помогает выбрать подходящий формат и содержание страницы.",content/glossary/batch-01/поисковый-интент.md,намерение пользователя; search intent,Семантическое ядро; Поисковая выдача; Конверсия,Поисковый интент: что это в SEO,"Что такое поисковый интент, какие цели стоят за запросами и как анализ выдачи помогает выбрать формат страницы.",Классификация интентов методическая; запросы могут быть смешанными.,ISEO-SU-GLOSSARY-RESEARCH-REGISTER-v1.md,applied
"Атрибут rel=""nofollow""",Nofollow,2451,nofollow,link building,"Nofollow — значение атрибута rel у ссылки, сообщающее поисковым системам, что ссылку не следует рассматривать как обычную рекомендацию. Поисковые системы могут использовать этот и другие атрибуты как сигналы.",content/glossary/batch-01/nofollow.md,rel=nofollow; nofollow-ссылка,Обратная ссылка; Анкорный текст; Ссылочный профиль,"Nofollow: что означает rel=""nofollow""","Что делает атрибут rel=""nofollow"", когда его применяют и чем он отличается от запрета индексации страницы.","Проверено: nofollow относится к ссылке, не является запретом индексации; обработка рассматривается как сигнал.",ISEO-SU-GLOSSARY-RESEARCH-REGISTER-v1.md,applied
Ссылочный профиль,Ссылочный профиль,2585,ssylochnyj-profil,link building,"Ссылочный профиль — совокупность внешних ссылок на сайт: их источников, целевых страниц, анкоров, атрибутов и динамики появления. Его анализируют для оценки естественности, тематической релевантности и потенциальных рисков.",content/glossary/batch-01/ссылочный-профиль.md,профиль обратных ссылок; backlink profile,Обратная ссылка; Анкорный текст; Nofollow,Ссылочный профиль сайта: что это,"Что входит в ссылочный профиль сайта, какие характеристики анализируют и почему число ссылок не является единственной оценкой.",Определение не опирается на сторонние метрики и не предполагает известности формул ранжирования.,ISEO-SU-GLOSSARY-RESEARCH-REGISTER-v1.md,applied
