post_id,title,alcohol_terms_expected,alcohol_terms_found,checked_sources,result,notes
74,"Лечение алкогольной зависимости",yes,allowed_on_alcohol_page,n/a,PASS,"alcohol page exempt"
75,"Профилактический анализ",no,none,service_general_intro_heading|service_general_signs_heading|service_general_approach_heading|service_general_program_heading|service_general_stages_heading|service_general_faq_heading|service_general_bordered_info_items|service_general_signs_items|service_general_approach_cards|service_general_program_intro_items|service_general_stages_items|service_general_faq_items,PASS,
78,Депрессия,no,none,service_general_intro_heading|service_general_signs_heading|service_general_approach_heading|service_general_program_heading|service_general_stages_heading|service_general_faq_heading|service_general_bordered_info_items|service_general_signs_items|service_general_approach_cards|service_general_program_intro_items|service_general_stages_items|service_general_faq_items,PASS,
79,ПТСР,no,none,service_general_intro_heading|service_general_signs_heading|service_general_approach_heading|service_general_program_heading|service_general_stages_heading|service_general_faq_heading|service_general_bordered_info_items|service_general_signs_items|service_general_approach_cards|service_general_program_intro_items|service_general_stages_items|service_general_faq_items,PASS,
80,"Эмоциональное выгорание",no,none,service_general_intro_heading|service_general_signs_heading|service_general_approach_heading|service_general_program_heading|service_general_stages_heading|service_general_faq_heading|service_general_bordered_info_items|service_general_signs_items|service_general_approach_cards|service_general_program_intro_items|service_general_stages_items|service_general_faq_items,PASS,
81,"Тревожные расстройства",no,none,service_general_intro_heading|service_general_signs_heading|service_general_approach_heading|service_general_program_heading|service_general_stages_heading|service_general_faq_heading|service_general_bordered_info_items|service_general_signs_items|service_general_approach_cards|service_general_program_intro_items|service_general_stages_items|service_general_faq_items,PASS,
82,"Расстройства сна",no,none,service_general_intro_heading|service_general_signs_heading|service_general_approach_heading|service_general_program_heading|service_general_stages_heading|service_general_faq_heading|service_general_bordered_info_items|service_general_signs_items|service_general_approach_cards|service_general_program_intro_items|service_general_stages_items|service_general_faq_items,PASS,
83,Травма,no,none,service_general_intro_heading|service_general_signs_heading|service_general_approach_heading|service_general_program_heading|service_general_stages_heading|service_general_faq_heading|service_general_bordered_info_items|service_general_signs_items|service_general_approach_cards|service_general_program_intro_items|service_general_stages_items|service_general_faq_items,PASS,
85,Анорексия,no,none,service_general_intro_heading|service_general_signs_heading|service_general_approach_heading|service_general_program_heading|service_general_stages_heading|service_general_faq_heading|service_general_bordered_info_items|service_general_signs_items|service_general_approach_cards|service_general_program_intro_items|service_general_stages_items|service_general_faq_items,PASS,
86,Булимия,no,none,service_general_intro_heading|service_general_signs_heading|service_general_approach_heading|service_general_program_heading|service_general_stages_heading|service_general_faq_heading|service_general_bordered_info_items|service_general_signs_items|service_general_approach_cards|service_general_program_intro_items|service_general_stages_items|service_general_faq_items,PASS,
87,"Компульсивное переедание",no,none,service_general_intro_heading|service_general_signs_heading|service_general_approach_heading|service_general_program_heading|service_general_stages_heading|service_general_faq_heading|service_general_bordered_info_items|service_general_signs_items|service_general_approach_cards|service_general_program_intro_items|service_general_stages_items|service_general_faq_items,PASS,
314,"Лечение наркотической зависимости",no,none,service_general_intro_heading|service_general_signs_heading|service_general_approach_heading|service_general_program_heading|service_general_stages_heading|service_general_faq_heading|service_general_bordered_info_items|service_general_signs_items|service_general_approach_cards|service_general_program_intro_items|service_general_stages_items|service_general_faq_items,PASS,
315,"Лечение лекарственной зависимости",no,none,service_general_intro_heading|service_general_signs_heading|service_general_approach_heading|service_general_program_heading|service_general_stages_heading|service_general_faq_heading|service_general_bordered_info_items|service_general_signs_items|service_general_approach_cards|service_general_program_intro_items|service_general_stages_items|service_general_faq_items,PASS,
316,"Поведенческие зависимости",no,none,service_general_intro_heading|service_general_signs_heading|service_general_approach_heading|service_general_program_heading|service_general_stages_heading|service_general_faq_heading|service_general_bordered_info_items|service_general_signs_items|service_general_approach_cards|service_general_program_intro_items|service_general_stages_items|service_general_faq_items,PASS,
1011,"Лечение солевой зависимости",no,none,service_general_intro_heading|service_general_signs_heading|service_general_approach_heading|service_general_program_heading|service_general_stages_heading|service_general_faq_heading|service_general_bordered_info_items|service_general_signs_items|service_general_approach_cards|service_general_program_intro_items|service_general_stages_items|service_general_faq_items,PASS,
1012,"Лечение метадоновой зависимости",no,none,service_general_intro_heading|service_general_signs_heading|service_general_approach_heading|service_general_program_heading|service_general_stages_heading|service_general_faq_heading|service_general_bordered_info_items|service_general_signs_items|service_general_approach_cards|service_general_program_intro_items|service_general_stages_items|service_general_faq_items,PASS,
1013,"Лечение героиновой зависимости",no,none,service_general_intro_heading|service_general_signs_heading|service_general_approach_heading|service_general_program_heading|service_general_stages_heading|service_general_faq_heading|service_general_bordered_info_items|service_general_signs_items|service_general_approach_cards|service_general_program_intro_items|service_general_stages_items|service_general_faq_items,PASS,
1016,"Лечение игровой зависимости",no,none,service_general_intro_heading|service_general_signs_heading|service_general_approach_heading|service_general_program_heading|service_general_stages_heading|service_general_faq_heading|service_general_bordered_info_items|service_general_signs_items|service_general_approach_cards|service_general_program_intro_items|service_general_stages_items|service_general_faq_items,PASS,
1017,Интернет-зависимость,no,none,service_general_intro_heading|service_general_signs_heading|service_general_approach_heading|service_general_program_heading|service_general_stages_heading|service_general_faq_heading|service_general_bordered_info_items|service_general_signs_items|service_general_approach_cards|service_general_program_intro_items|service_general_stages_items|service_general_faq_items,PASS,
1018,"Лечение созависимости",no,none,service_general_intro_heading|service_general_signs_heading|service_general_approach_heading|service_general_program_heading|service_general_stages_heading|service_general_faq_heading|service_general_bordered_info_items|service_general_signs_items|service_general_approach_cards|service_general_program_intro_items|service_general_stages_items|service_general_faq_items,PASS,
1019,"Зависимость от постоянных покупок",no,none,service_general_intro_heading|service_general_signs_heading|service_general_approach_heading|service_general_program_heading|service_general_stages_heading|service_general_faq_heading|service_general_bordered_info_items|service_general_signs_items|service_general_approach_cards|service_general_program_intro_items|service_general_stages_items|service_general_faq_items,PASS,
1047,"Компьютерная зависимость",no,none,service_general_intro_heading|service_general_signs_heading|service_general_approach_heading|service_general_program_heading|service_general_stages_heading|service_general_faq_heading|service_general_bordered_info_items|service_general_signs_items|service_general_approach_cards|service_general_program_intro_items|service_general_stages_items|service_general_faq_items,PASS,
1048,"Лечение опиумной зависимости",no,none,service_general_intro_heading|service_general_signs_heading|service_general_approach_heading|service_general_program_heading|service_general_stages_heading|service_general_faq_heading|service_general_bordered_info_items|service_general_signs_items|service_general_approach_cards|service_general_program_intro_items|service_general_stages_items|service_general_faq_items,PASS,
1049,"Хроническая усталость",no,none,service_general_intro_heading|service_general_signs_heading|service_general_approach_heading|service_general_program_heading|service_general_stages_heading|service_general_faq_heading|service_general_bordered_info_items|service_general_signs_items|service_general_approach_cards|service_general_program_intro_items|service_general_stages_items|service_general_faq_items,PASS,
