check,expected,actual,result,notes
repository,X:\AI MARS,X:\AI MARS,PASS,workspace root
volume_label,AI WS,AI WS,PASS,X volume
branch,mars/canonical-post-recovery,mars/canonical-post-recovery,PASS,canonical branch
HEAD_before_push,any with FP ancestors,f8d859924d84c7d6a57f2662b8fe7b3e9f53a629,PASS,HEAD may advance; currently includes new MetaBOT tip above micro-commit
staged_before_push,0,0,PASS,no staged
fp0002_main_ancestor,exit0/ancestor,exit0,PASS,dba97a38...
fp0002_micro_ancestor,exit0/ancestor,exit0,PASS,d3f3fdf2...
remote_tip_ls_remote,9a8c4cadee234f773c847687d1e3131a2654dba4,9a8c4cadee234f773c847687d1e3131a2654dba4,PASS,ls-remote without fetch
remote_is_ancestor_of_HEAD,YES/exit0,NO/exit1,FAIL,DIVERGED: remote has 28 OCPilot commits not in local HEAD
merge_base,,21549cf105b27d187869264616fd8e8addf3b267,INFO,common ancestor 21549cf1 FP-0002 o-centre repair
ahead_count,,32,INFO,local-only commits vs remote tip
behind_count,,28,INFO,remote-only OCPilot/infra commits
force_push_required,NO,YES-to-overwrite-or-merge-forbidden,FAIL,normal push refused by non-fast-forward; force/merge/rebase prohibited
push_gate,PASS,FAIL,FAIL,remote not ancestor + MetaBOT ahead needs_operator + non-ff
