post_id,title,parent_section,risky_source_detected,alcohol_terms_present_before,alcohol_terms_expected,action,notes
316,"Поведенческие зависимости",Зависимости,no,no,no,seed_neutral_page_specific_demo,"safe for neutral seed"
75,"Профилактический анализ",Зависимости,no,no,no,seed_neutral_page_specific_demo,"safe for neutral seed"
1047,"Компьютерная зависимость",Зависимости,no,no,no,seed_neutral_page_specific_demo,"safe for neutral seed"
1048,"Лечение опиумной зависимости",Зависимости,no,no,no,seed_neutral_page_specific_demo,"safe for neutral seed"
79,ПТСР,"Психическое здоровье",no,no,no,seed_neutral_page_specific_demo,"safe for neutral seed"
80,"Эмоциональное выгорание","Психическое здоровье",no,no,no,seed_neutral_page_specific_demo,"safe for neutral seed"
82,"Расстройства сна","Психическое здоровье",no,no,no,seed_neutral_page_specific_demo,"safe for neutral seed"
83,Травма,"Психическое здоровье",no,no,no,seed_neutral_page_specific_demo,"safe for neutral seed"
1049,"Хроническая усталость","Психическое здоровье",no,no,no,seed_neutral_page_specific_demo,"safe for neutral seed"
1050,Стресс,"Психическое здоровье",no,no,no,seed_neutral_page_specific_demo,"safe for neutral seed"
1051,Нарциссизм,"Психическое здоровье",no,no,no,seed_neutral_page_specific_demo,"safe for neutral seed"
86,Булимия,"Расстройства пищевого поведения",no,no,no,seed_neutral_page_specific_demo,"safe for neutral seed"
87,"Компульсивное переедание","Расстройства пищевого поведения",no,no,no,seed_neutral_page_specific_demo,"safe for neutral seed"
1011,"Лечение солевой зависимости",Зависимости,no,no,no,seed_neutral_page_specific_demo,"safe for neutral seed"
1012,"Лечение метадоновой зависимости",Зависимости,no,no,no,seed_neutral_page_specific_demo,"safe for neutral seed"
1013,"Лечение героиновой зависимости",Зависимости,no,no,no,seed_neutral_page_specific_demo,"safe for neutral seed"
315,"Лечение лекарственной зависимости",Зависимости,no,no,no,seed_neutral_page_specific_demo,"safe for neutral seed"
1016,"Лечение игровой зависимости",Зависимости,no,no,no,seed_neutral_page_specific_demo,"safe for neutral seed"
1017,Интернет-зависимость,Зависимости,no,no,no,seed_neutral_page_specific_demo,"safe for neutral seed"
1018,"Лечение созависимости",Зависимости,no,no,no,seed_neutral_page_specific_demo,"safe for neutral seed"
1019,"Зависимость от постоянных покупок",Зависимости,no,no,no,seed_neutral_page_specific_demo,"safe for neutral seed"
