"negative","level","scope","token_type","decision","replacement","risk","representative_phrases","explanation","status"
"работа программист","global","ALL","phrase","SAFE","","Broad token «работа программист» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"работа 1с","global","ALL","phrase","SAFE","","Broad token «работа 1с» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"работа на 1с","global","ALL","phrase","SAFE","","Broad token «работа на 1с» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"удаленная работа","global","ALL","phrase","SAFE","","Broad token «удаленная работа» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"ищу работу","global","ALL","phrase","SAFE","","Broad token «ищу работу» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"вакансии","global","ALL","exact word","SAFE","","Broad token «вакансии» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"вакансия","global","ALL","exact word","SAFE","","Broad token «вакансия» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"резюме","global","ALL","exact word","SAFE","","Broad token «резюме» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"зарплата","global","ALL","exact word","SAFE","","Broad token «зарплата» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"стажировка","global","ALL","exact word","SAFE","","Broad token «стажировка» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"стажер","global","ALL","exact word","SAFE","","Broad token «стажер» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"работодатель","global","ALL","exact word","SAFE","","Broad token «работодатель» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"трудоустройство","global","ALL","exact word","SAFE","","Broad token «трудоустройство» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"собеседование","global","ALL","exact word","SAFE","","Broad token «собеседование» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"hh.ru","global","ALL","exact word","SAFE","","Broad token «hh.ru» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"hh","global","ALL","exact word","SAFE","","Broad token «hh» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"superjob","global","ALL","exact word","SAFE","","Broad token «superjob» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"gorodrabot.ru","global","ALL","exact word","SAFE","","Broad token «gorodrabot.ru» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"zarplata.ru","global","ALL","exact word","SAFE","","Broad token «zarplata.ru» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"обучение","global","ALL","exact word","SAFE","","Broad token «обучение» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"курсы","global","ALL","exact word","SAFE","","Broad token «курсы» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"курс","global","ALL","exact word","SAFE","","Broad token «курс» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"урок","global","ALL","exact word","SAFE","","Broad token «урок» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"уроки","global","ALL","exact word","SAFE","","Broad token «уроки» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"учебник","global","ALL","exact word","SAFE","","Broad token «учебник» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"учиться","global","ALL","exact word","SAFE","","Broad token «учиться» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"профессия","global","ALL","exact word","SAFE","","Broad token «профессия» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"экзамен","global","ALL","exact word","SAFE","","Broad token «экзамен» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"диплом","global","ALL","exact word","SAFE","","Broad token «диплом» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"курсовая","global","ALL","exact word","SAFE","","Broad token «курсовая» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"реферат","global","ALL","exact word","SAFE","","Broad token «реферат» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"студент","global","ALL","exact word","SAFE","","Broad token «студент» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"сертификация специалиста","global","ALL","phrase","SAFE","","Broad token «сертификация специалиста» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"школа","global","ALL","exact word","SAFE","","Broad token «школа» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"с нуля","global","ALL","phrase","SAFE","","Broad token «с нуля» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"скачать","global","ALL","exact word","SAFE","","Broad token «скачать» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"торрент","global","ALL","exact word","SAFE","","Broad token «торрент» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
