"keyword_id","phrase","group_id","decision","reason","review_status"
"kw-corv01-disc-2330","как подключить тс пиот к 1с","CORV-G08-01","EXCLUDE DIY","EXCLUDE DIY: «как подключить тс пиот к 1с» — how_to_prefix_seeking_self_service; не соответствует платной услуге «Настройка ТС ПИОТ в 1С».","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2358","тс пиот в 1с настройка инструкция","CORV-G08-01","EXCLUDE INFORMATIONAL","EXCLUDE INFORMATIONAL: «тс пиот в 1с настройка инструкция» — documentation_or_instruction_seek; не соответствует платной услуге «Настройка ТС ПИОТ в 1С».","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2277","лекарство без маркировки","CORV-G06-08","EXCLUDE REGULATORY","EXCLUDE REGULATORY: «лекарство без маркировки» — regulatory_timeline_or_scope_research; не соответствует платной услуге «Маркировка лекарств в 1С».","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2262","маркировка лекарств личный кабинет","CORV-G06-08","EXCLUDE INFORMATIONAL","EXCLUDE INFORMATIONAL: «маркировка лекарств личный кабинет» — personal_cabinet_access_not_service; не соответствует платной услуге «Маркировка лекарств в 1С».","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2265","маркировка лекарств препаратов","CORV-G06-08","EXCLUDE REGULATORY","EXCLUDE REGULATORY: «маркировка лекарств препаратов» — generic_pharma_listing_not_1c_service; не соответствует платной услуге «Маркировка лекарств в 1С».","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2274","маркировка лекарств средств","CORV-G06-08","EXCLUDE REGULATORY","EXCLUDE REGULATORY: «маркировка лекарств средств» — generic_pharma_listing_not_1c_service; не соответствует платной услуге «Маркировка лекарств в 1С».","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2263","маркировка лекарств честный знак личный кабинет","CORV-G06-08","EXCLUDE INFORMATIONAL","EXCLUDE INFORMATIONAL: «маркировка лекарств честный знак личный кабинет» — personal_cabinet_access_not_service; не соответствует платной услуге «Маркировка лекарств в 1С».","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2275","маркировка лекарства с какого","CORV-G06-08","EXCLUDE REGULATORY","EXCLUDE REGULATORY: «маркировка лекарства с какого» — regulatory_timeline_or_scope_research; не соответствует платной услуге «Маркировка лекарств в 1С».","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2266","обязательной маркировки лекарств","CORV-G06-08","EXCLUDE REGULATORY","EXCLUDE REGULATORY: «обязательной маркировки лекарств» — regulatory_timeline_or_scope_research; не соответствует платной услуге «Маркировка лекарств в 1С».","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2312","автозапчасти попадают под маркировку","CORV-G06-10","EXCLUDE REGULATORY","EXCLUDE REGULATORY: «автозапчасти попадают под маркировку» — regulatory_timeline_or_scope_research; не соответствует платной услуге «Маркировка автозапчастей в 1С».","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2311","когда начнется маркировка автозапчастей","CORV-G06-10","EXCLUDE REGULATORY","EXCLUDE REGULATORY: «когда начнется маркировка автозапчастей» — regulatory_timeline_or_scope_research; не соответствует платной услуге «Маркировка автозапчастей в 1С».","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2313","маркировка автозапчастей с какого года","CORV-G06-10","EXCLUDE REGULATORY","EXCLUDE REGULATORY: «маркировка автозапчастей с какого года» — regulatory_timeline_or_scope_research; не соответствует платной услуге «Маркировка автозапчастей в 1С».","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2299","обязательная маркировка автозапчастей","CORV-G06-10","EXCLUDE REGULATORY","EXCLUDE REGULATORY: «обязательная маркировка автозапчастей» — regulatory_timeline_or_scope_research; не соответствует платной услуге «Маркировка автозапчастей в 1С».","SEMANTICALLY REVIEWED"
"kw-corv01-disc-1600","как в 1с изменить печатную форму документа","CORV-G03-04","EXCLUDE DIY","EXCLUDE DIY: «как в 1с изменить печатную форму документа» — Самостоятельное выполнение по инструкции; не соответствует платной услуге «Доработка печатной формы 1С».","SEMANTICALLY REVIEWED"
"kw-corv01-disc-036","вопрос программисту 1с","CORV-G01-01","EXCLUDE INFORMATIONAL","EXCLUDE INFORMATIONAL: «вопрос программисту 1с» — qa_forum_style_not_hire_intent; не соответствует платной услуге «Услуги программиста 1С для организаций».","SEMANTICALLY REVIEWED"
"kw-corv01-disc-057","часа работы программиста 1с","CORV-G01-01","EXCLUDE EMPLOYMENT","EXCLUDE EMPLOYMENT: «часа работы программиста 1с» — employment_or_labor_market; не соответствует платной услуге «Услуги программиста 1С для организаций».","SEMANTICALLY REVIEWED"
"kw-corv01-disc-058","часы работы программиста 1с","CORV-G01-01","EXCLUDE EMPLOYMENT","EXCLUDE EMPLOYMENT: «часы работы программиста 1с» — employment_or_labor_market; не соответствует платной услуге «Услуги программиста 1С для организаций».","SEMANTICALLY REVIEWED"
