"level","group_id","keyword","negative","result","note"
"global","CORV-G08-01","1с розница подключение тс пиот","работа программист","SAFE_PASS","Representative non-blocking check"
"global","CORV-G08-02","тс пиот как установить в 1с","своими руками","SAFE_PASS","Representative non-blocking check"
"global","CORV-G06-11","маркировка масел 1с","инструкция","SAFE_PASS","Representative non-blocking check"
"global","CORV-G06-03","честный знак модуль 1с","crack","SAFE_PASS","Representative non-blocking check"
"global","CORV-G07-03","после обновления 1с не работает синхронизация","сертификация специалиста","SAFE_PASS","Representative non-blocking check"
"global","CORV-G05-02","интеграция битрикс 1с erp","экзамен","SAFE_PASS","Representative non-blocking check"
"global","CORV-G05-04","1с бп синхронизация","урок","SAFE_PASS","Representative non-blocking check"
"global","CORV-G04-03","платежный календарь 1с","gorodrabot.ru","SAFE_PASS","Representative non-blocking check"
"global","CORV-G03-05","создание внешних печатных форм 1с 8.3","трудоустройство","SAFE_PASS","Representative non-blocking check"
"global","CORV-G02-06","исправление доработок после обновления 1с","резюме","SAFE_PASS","Representative non-blocking check"
"global","CORV-G02-01","обмен 1с доработка","работа на 1с","SAFE_PASS","Representative non-blocking check"
"global","CORV-G01-08","ищу 1с программиста для разовой задачи","что такое","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G08-01","1с розница подключение тс пиот","вакансия","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G08-02","тс пиот честный знак 1с","доработка","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G06-10","маркировка автозапчастей честный","доработка 1с","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G06-03","лм честный знак 1с","битрикс","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G06-04","ошибка маркировки 1с","отчет","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G06-01","подключение маркировки 1с","тс пиот","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G05-02","интеграция 1с битрикс","маркировка","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G05-04","настройка синхронизации 1с","сопровождение","SAFE_PASS","Representative non-blocking check"
