source_term,canonical_term,status,category,language,priority,difficulty,expert_review,canonical_slug,merge_target,synonyms,notes
АГС,АГС,KEEP,search engines and indexing,RU,MEDIUM,MODERATE,YES,агс,,антидорвейный алгоритм,Yandex anti-doorway family — verify current naming/status.
Акцептор,Акцептор ссылки,RENAME,link building,RU,MEDIUM,SIMPLE,NO,акцептор-ссылки,,страница-акцептор,Disambiguate from other meanings.
Алгоритм ранжирования,Алгоритм ранжирования,KEEP,search engines and indexing,RU,MEDIUM,MODERATE,YES,алгоритм-ранжирования,,поисковый алгоритм,Default KEEP pending pilot-standard drafting.
Алгоритмы поисковых систем,Алгоритм ранжирования,MERGE,search engines and indexing,RU,LOW,MODERATE,NO,алгоритм-ранжирования,Алгоритм ранжирования,поисковые алгоритмы,Near-duplicate of «Алгоритм ранжирования»; keep plural as synonym/redirect only.
Анкор (анкорный текст),Анкорный текст,RENAME,link building,RU,HIGH,SIMPLE,NO,анкорный-текст,,анкорный лист,Prefer «Анкорный текст» as canonical title.
Апдейт алгоритма,Апдейт алгоритма,KEEP,search engines and indexing,RU,MEDIUM,MODERATE,YES,апдейт-алгоритма,,обновление алгоритма,Default KEEP pending pilot-standard drafting.
Асессор,Асессор,KEEP,analytics and metrics,RU,MEDIUM,MODERATE,NO,асессор,,эксперт-оценщик,Default KEEP pending pilot-standard drafting.
"Атрибут rel=""nofollow""",Nofollow,RENAME,link building,EN,HIGH,MODERATE,NO,nofollow,,nofollow-ссылка,Normalize to Nofollow; mention rel attribute and sponsored/ugc in definition.
Аудит сайта (SEO-аудит),SEO-аудит,RENAME,SEO fundamentals,MIXED,HIGH,MODERATE,NO,seo-аудит,,SEO-анализ,Canonical commercial/service term: SEO-аудит.
Аутрич,Аутрич,KEEP,link building,RU,MEDIUM,MODERATE,NO,аутрич,,outreach-маркетинг,Default KEEP pending pilot-standard drafting.
Аффилированность,Аффилированность,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,аффилированность,,аффилиат,Default KEEP pending pilot-standard drafting.
Баден-Баден (алгоритм),Баден-Баден,RENAME,search engines and indexing,RU,MEDIUM,MODERATE,YES,баден-баден,,фильтр Баден-Баден,Drop parenthetical; Yandex algorithm — verify current status.
Бан сайта,Бан сайта,KEEP,search engines and indexing,RU,MEDIUM,MODERATE,NO,бан-сайта,,бан,Default KEEP pending pilot-standard drafting.
Безанкорная ссылка,Безанкорная ссылка,KEEP,link building,RU,MEDIUM,MODERATE,NO,безанкорная-ссылка,,ссылка без анкора,Default KEEP pending pilot-standard drafting.
Белая оптимизация,Белая оптимизация,KEEP,SEO fundamentals,RU,MEDIUM,SIMPLE,NO,белая-оптимизация,,white hat,Contrast with чёрные методы; avoid moralizing.
Биржа ссылок,Биржа ссылок,KEEP,link building,RU,MEDIUM,MODERATE,NO,биржа-ссылок,,ссылочная биржа,Default KEEP pending pilot-standard drafting.
Битые ссылки,Битые ссылки,KEEP,link building,RU,MEDIUM,MODERATE,NO,битые-ссылки,,мёртвые ссылки,Default KEEP pending pilot-standard drafting.
Брендовый трафик,Брендовый трафик,KEEP,digital marketing,RU,MEDIUM,MODERATE,NO,брендовый-трафик,,брендовые переходы,Default KEEP pending pilot-standard drafting.
Быстрые ссылки (сайтлинки),Быстрые ссылки,RENAME,search engines and indexing,RU,MEDIUM,SIMPLE,NO,быстрые-ссылки,,sitelinks,Canonical RU title; sitelinks as synonym.
Веб-мастер,Веб-мастер,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,веб-мастер,,администратор сайта,Default KEEP pending pilot-standard drafting.
Веб-страница,,EXCLUDE,website development,RU,LOW,SIMPLE,NO,,,страница сайта,Too basic/generic for professional SEO glossary.
Вертикальный поиск,Вертикальный поиск,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,вертикальный-поиск,,специализированный поиск,Default KEEP pending pilot-standard drafting.
Видимость сайта,Видимость сайта,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,видимость-сайта,,поисковая видимость,Default KEEP pending pilot-standard drafting.
Визит / Сессия,Сессия,RENAME,analytics and metrics,RU,HIGH,SIMPLE,NO,сессия,,сессия,Prefer Сессия; визит as synonym (Yandex Metrika terminology).
Внешняя оптимизация,Внешняя оптимизация,KEEP,SEO fundamentals,RU,HIGH,MODERATE,NO,внешняя-оптимизация,,off-page оптимизация,Default KEEP pending pilot-standard drafting.
Внутренняя оптимизация,Внутренняя оптимизация,KEEP,SEO fundamentals,RU,HIGH,MODERATE,NO,внутренняя-оптимизация,,on-page оптимизация,Default KEEP pending pilot-standard drafting.
Внутренняя перелинковка,Внутренняя перелинковка,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,внутренняя-перелинковка,,перелинковка,Default KEEP pending pilot-standard drafting.
Вода в тексте,Вода в тексте,KEEP,content and semantics,RU,MEDIUM,SIMPLE,NO,вода-в-тексте,,водность текста,Distinct from keyword stuffing; keep separate.
Воронка продаж,Воронка продаж,KEEP,UX and conversion,RU,MEDIUM,MODERATE,NO,воронка-продаж,,конверсионная воронка,Default KEEP pending pilot-standard drafting.
ВЧ / СЧ / НЧ запросы,Частотность запроса,RENAME,content and semantics,RU,HIGH,SIMPLE,NO,частотность-запроса,,"ВЧ, СЧ, НЧ, мНЧ",Normalize away slash-abbreviation title; cover ВЧ/СЧ/НЧ inside.
Геозависимый запрос,Геозависимый запрос,KEEP,content and semantics,RU,MEDIUM,MODERATE,NO,геозависимый-запрос,,региональный запрос,Default KEEP pending pilot-standard drafting.
Геонезависимый запрос,Геонезависимый запрос,KEEP,content and semantics,RU,MEDIUM,MODERATE,NO,геонезависимый-запрос,,нерегиональный запрос,Default KEEP pending pilot-standard drafting.
Главная страница сайта,Главная страница сайта,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,главная-страница-сайта,,"морда, домашняя страница",Default KEEP pending pilot-standard drafting.
Главное зеркало сайта,Главное зеркало сайта,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,главное-зеркало-сайта,,основное зеркало,Default KEEP pending pilot-standard drafting.
Глубина вложенности,Глубина вложенности,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,глубина-вложенности,,уровень вложенности,Default KEEP pending pilot-standard drafting.
Гостевой постинг,Аутрич,MERGE,link building,RU,LOW,SIMPLE,NO,аутрич,Аутрич,guest posting,Common outreach tactic; synonym/related under Аутрич.
ГС,Главная страница сайта,MERGE,SEO fundamentals,RU,LOW,SIMPLE,NO,главная-страница-сайта,Главная страница сайта,главная страница,SEO slang for homepage; synonym only.
Дашборд (Dashboard),Дашборд,RENAME,analytics and metrics,RU,LOW,SIMPLE,NO,дашборд,,панель мониторинга,Russian title; English as synonym.
Длинный хвост (long tail),Длинный хвост,RENAME,content and semantics,RU,HIGH,SIMPLE,NO,длинный-хвост,,длиннохвостые запросы,RU canonical; long tail synonym.
Домен,,EXCLUDE,website development,RU,LOW,SIMPLE,NO,,,доменное имя,Too basic; keep DA/DR/WHOIS instead. Operator may override to KEEP.
Донор ссылки,Донор ссылки,KEEP,link building,RU,MEDIUM,MODERATE,NO,донор-ссылки,,сайт-донор,Default KEEP pending pilot-standard drafting.
Дорвей,Дорвей,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,дорвей,,doorway,Default KEEP pending pilot-standard drafting.
Дубли страниц,Дубли страниц,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,дубли-страниц,,дублирующийся контент,Default KEEP pending pilot-standard drafting.
Естественные ссылки,Естественные ссылки,KEEP,link building,RU,MEDIUM,MODERATE,NO,естественные-ссылки,,органические ссылки,Default KEEP pending pilot-standard drafting.
