finding_id,severity,category,affected_count,sample_url,issue,evidence,current_status,decision_owner,recommended_next_step,source_artifact
CANON-MISSING,MEDIUM,CANONICAL,162,https://i-seo.su/,Missing canonical on content-like 200 pages,"count=162; many static .html marketing pages may lack link rel=canonical by template design",SEO_REVIEW,MARS + SEO,Согласовать canonical-стратегию для static .html vs WP; затем добавить self-canonical в шаблоны,ISEO-SU-TECH-SEO-FINDINGS-v1.csv
CANON-MISMATCH,MEDIUM,CANONICAL,117,https://i-seo.su/blog/?sort=date-asc,Canonical/self URL mismatch or unresolved target,count=117,SEO_REVIEW,MARS + SEO,Определить preferred URL для blog query/sort/tags; выровнять canonical,ISEO-SU-TECH-SEO-FINDINGS-v1.csv
SM-MISSING-INDEXABLE,MEDIUM,SITEMAP,197,https://i-seo.su/home.html,Indexable crawled URLs absent from discovered sitemaps,"HISTORICAL count=197; RECHECK 2026-08-24: raw gap=161; eligible canonical gap=0 (query=149, report-hub=8, noncanonical=4); static completeness remains CLOSED",CLOSED / RECHECKED,MARS + SEO,No eligible sitemap add required; leave query/report-hub/legacy twins as expected outside sitemap,ISEO-SU-TECH-CLEANUP-WAVE-01-EVIDENCE-v1.md
SM-NONINDEX,MEDIUM,SITEMAP,52,https://i-seo.su/tariff-calc,Sitemap URLs marked noindex/non-indexable,"count=52; likely includes offer CPT / intentional noindex surfaces listed by wp-sitemap",SEO_REVIEW,SEO,Решить: убрать из sitemap или оставить noindex осознанно (offers/tools),ISEO-SU-TECH-SEO-FINDINGS-v1.csv
TITLE-DUP,MEDIUM,TITLE,20,https://i-seo.su/blog/,Duplicate titles across multiple URLs,"Largest group: blog archive title repeated across ~119 URLs (pagination/category likely). Separate report-hub query variants.",SEO_REVIEW,SEO,Нужны ли уникальные title для пагинации/рубрик блога и report-hub variants,ISEO-SU-TECH-SEO-FINDINGS-v1.csv
ORPHAN-CRAWLER,MEDIUM,INTERNAL_LINKING,57,https://i-seo.su/offers,Crawler-level orphans: in sitemap/crawl but 0 internal inlinks observed,count=57 — NOT Search Console truth,SEO_REVIEW,SEO,Оценить важность сирот; добавить inlink только для страниц которые должны быть в nav,ISEO-SU-TECH-SEO-FINDINGS-v1.csv
LINK-TO-REDIR,LOW,INTERNAL_LINKING,129,https://i-seo.su/blog/,Internal links point at URLs that redirect,"HISTORICAL count=129; CLOSED 2026-08-24 WAVE 01: trailing-slash/nav/filter/archives sources repaired; residual=0; chains>=2=0",CLOSED,MARS / SITE OPS,Done — keep new anchors on final URLs,ISEO-SU-TECH-CLEANUP-WAVE-01-EVIDENCE-v1.md
TITLE-LONG,LOW,TITLE,24,https://i-seo.su/services/seo/kompleksnoe.html,Titles longer than ~70 characters,count=24,SEO_REVIEW,SEO,Укорачивать title для SERP только если SEO считает нужным,ISEO-SU-TECH-SEO-FINDINGS-v1.csv
META-MISSING,LOW,META_DESCRIPTION,23,https://i-seo.su/blog.html,Missing meta description on indexable 200 pages,count=23 — not always critical,SEO_REVIEW,SEO,Добавить meta description точечно где важен snippet,ISEO-SU-TECH-SEO-FINDINGS-v1.csv
META-DUP,LOW,META_DESCRIPTION,4,https://i-seo.su/blog/,Duplicate meta descriptions,distinct=2; urls=137,SEO_REVIEW,SEO,Развести descriptions для действительно разных страниц,ISEO-SU-TECH-SEO-FINDINGS-v1.csv
H1-MISSING,LOW,H1,5,https://i-seo.su/varvara-new.php,Missing H1,"Affected: varvara-new.php + report-hub client-report variants — sibling/tool surfaces, not primary marketing templates",EXPECTED_BEHAVIOR,НИЧЕГО НЕ ДЕЛАТЬ / MARS,Подтвердить что tool/hub H1 не приоритет marketing; чинить только если SEO требует,ISEO-SU-TECH-SEO-FINDINGS-v1.csv
IMG-HUGE,LOW,IMAGES,2,https://i-seo.su/img/cases/seo_ai_cases/makita_01.png,Large image files (>1.5MB) in sample,"HISTORICAL count=2; CLOSED 2026-08-24: makita 2760350→333369; maltipoo 2726005→312435; visual QA PASS; remaining=0",CLOSED,MARS / SITE OPS,Done — keep PNG paths; no further batch optimization in this wave,ISEO-SU-TECH-CLEANUP-WAVE-01-EVIDENCE-v1.md
IMG-ALT,LOW,IMAGES,445,https://i-seo.su/blog/,Pages with multiple images missing/empty alt,count=445 — decorative empties may be OK; many may be decorative empty-alt — do not mass-fix without design review,SEO_REVIEW,SEO,Alt только для контентно значимых изображений; без массового autofix,ISEO-SU-TECH-SEO-FINDINGS-v1.csv
OG-MISSING,LOW,SOCIAL_META,97,https://i-seo.su/,Missing key Open Graph tags on important templates,count=97,SEO_REVIEW,MARS + SEO,Приоритизировать OG на high-value шаблонах после SEO,ISEO-SU-TECH-SEO-FINDINGS-v1.csv
