13	_generic_page_reusable_blocks	field_fp02_generic_page_reusable_blocks
13	generic_page_reusable_blocks	a:2:{i:0;s:18:"rehab_requirements";i:1;s:10:"about_home";}
73	section_approach_cards	3
73	section_approach_cards_0_text	Врачебное сопровождение психического состояния, работа с сопутствующими расстройствами и подбор терапии по показаниям.
73	section_approach_cards_0_title	психиатрия
73	section_approach_cards_1_text	Восстановление навыков саморегуляции, режима и повседневного функционирования как часть устойчивой ремиссии.
73	section_approach_cards_1_title	функциональная терапия
73	section_approach_cards_2_text	Дополнительные методы поддержки — движение, восстановление тела и эмоционального баланса в безопасной среде центра.
73	section_approach_cards_2_title	комплементарная терапия
73	section_program_footer_label	подробнее о программе
73	service_short_description	Зависимость не начинается с желания разрушить себе жизнь. Начало в попытках справиться с болью, тревогой, пустотой или просто с ощущением, что иначе не получается. Наша программа направлена не просто на то, чтобы вывести
77	section_approach_cards	4
77	section_approach_cards_0_text	Комплексная оценка состояния: клинические и лабораторные методы, которые помогают понять природу зависимости и выбрать безопасный старт.
77	section_approach_cards_0_title	диагностические инструменты
77	section_approach_cards_1_text	Врачебное сопровождение психического состояния, работа с сопутствующими расстройствами и подбор терапии по показаниям.
77	section_approach_cards_1_title	психиатрия
77	section_approach_cards_2_text	Восстановление навыков саморегуляции, режима и повседневного функционирования как часть устойчивой ремиссии.
77	section_approach_cards_2_title	функциональная терапия
77	section_approach_cards_3_text	Дополнительные методы поддержки — движение, восстановление тела и эмоционального баланса в безопасной среде центра.
77	section_approach_cards_3_title	комплементарная терапия
77	service_short_description	Тревога, которая не отпускает. Депрессия, из которой не выйти привычными способами. Состояния, которые сложно описать вслух, — но которые реально мешают жить. Психические расстройства почти никогда не бывают «просто в го
84	section_approach_cards	4
84	section_approach_cards_0_text	Комплексная оценка состояния: клинические и лабораторные методы, которые помогают понять природу зависимости и выбрать безопасный старт.
84	section_approach_cards_0_title	диагностические инструменты
84	section_approach_cards_1_text	Врачебное сопровождение психического состояния, работа с сопутствующими расстройствами и подбор терапии по показаниям.
84	section_approach_cards_1_title	психиатрия
84	section_approach_cards_2_text	Восстановление навыков саморегуляции, режима и повседневного функционирования как часть устойчивой ремиссии.
84	section_approach_cards_2_title	функциональная терапия
84	section_approach_cards_3_text	Дополнительные методы поддержки — движение, восстановление тела и эмоционального баланса в безопасной среде центра.
84	section_approach_cards_3_title	комплементарная терапия
84	service_short_description	Взаимоотношения с едой — это отношения с собственным телом, с контролем, с ощущением себя. За ограничениями в еде, перееданием или навязчивыми ритуалами вокруг питания стоит что-то, что ждёт внимания и аккуратной работы,
