finding_id,category,severity,confidence,page_type,affected_count,sample_url,issue,evidence,recommended_fix_direction,owner,status
SM-CHILD-404,SITEMAP,HIGH,HIGH,OTHER,3,https://i-seo.su/post-sitemap.xml,Yoast-style /sitemap.xml index references child sitemaps that return 404,"404 children: https://i-seo.su/post-sitemap.xml, https://i-seo.su/page-sitemap.xml, https://i-seo.su/category-sitemap.xml. Working parallel index: /wp-sitemap.xml (core WP). Static inventory: /sitemap-static.xml OK.",Repair Yoast sitemap generation OR stop advertising dead children from /sitemap.xml; keep dual-sitemap architecture explicit,MARS / SITE OPS,CLOSED — see ISEO-SU-HIGH-FIX-WAVE-01-EVIDENCE-v1.md / ISEO-SU-TECH-SEO-HIGH-FIX-STATUS-v1.md
LINK-TO-REDIR,INTERNAL_LINKING,LOW,HIGH,MIXED,129,https://i-seo.su/blog/,Internal links point at URLs that redirect,count=129,Point anchors directly at final URLs,MARS / SITE OPS,REVIEW NEEDED
CANON-MISSING,CANONICAL,MEDIUM,MEDIUM,MIXED,162,https://i-seo.su/,Missing canonical on content-like 200 pages,count=162; many static .html marketing pages may lack link rel=canonical by template design,Add self-referencing canonical on templates,MARS / SITE OPS,REVIEW NEEDED
CANON-MISMATCH,CANONICAL,MEDIUM,MEDIUM,MIXED,117,https://i-seo.su/blog/?sort=date-asc,Canonical/self URL mismatch or unresolved target,count=117,Align canonical with preferred URL,MARS / SITE OPS,REVIEW NEEDED
SM-MISSING-INDEXABLE,SITEMAP,MEDIUM,MEDIUM,MIXED,197,https://i-seo.su/home.html,Indexable crawled URLs absent from discovered sitemaps,count=197 — may be intentional dual-sitemap architecture,Decide which sitemap owns which surface; do not auto-duplicate,SEO REVIEW,REVIEW NEEDED
SM-NONINDEX,SITEMAP,MEDIUM,HIGH,MIXED,52,https://i-seo.su/tariff-calc,Sitemap URLs marked noindex/non-indexable,count=52; likely includes offer CPT / intentional noindex surfaces listed by wp-sitemap,Remove from sitemap or make indexable intentionally,MARS / SITE OPS,REVIEW NEEDED
TITLE-DUP,TITLE,MEDIUM,HIGH,MIXED,20,https://i-seo.su/blog/,Duplicate titles across multiple URLs,Largest group: blog archive title repeated across ~119 URLs (pagination/category likely). Separate report-hub query variants.,Differentiate titles where pages are distinct; pagination may be expected,SEO REVIEW,REVIEW NEEDED
TITLE-LONG,TITLE,LOW,MEDIUM,MIXED,24,https://i-seo.su/services/seo/kompleksnoe.html,Titles longer than ~70 characters,count=24,Shorten for SERP display if desired,SEO REVIEW,REVIEW NEEDED
META-MISSING,META_DESCRIPTION,LOW,HIGH,MIXED,23,https://i-seo.su/blog.html,Missing meta description on indexable 200 pages,count=23 — not always critical,Add where SERP snippet quality matters,SEO REVIEW,REVIEW NEEDED
META-DUP,META_DESCRIPTION,LOW,HIGH,MIXED,4,https://i-seo.su/blog/,Duplicate meta descriptions,distinct=2; urls=137,Differentiate descriptions for distinct pages,SEO REVIEW,REVIEW NEEDED
H1-MISSING,H1,LOW,HIGH,MIXED,5,https://i-seo.su/varvara-new.php,Missing H1,"Affected: varvara-new.php + report-hub client-report variants — sibling/tool surfaces, not primary marketing templates",Ensure one clear H1 per content template,MARS / SITE OPS,REVIEW NEEDED
ORPHAN-CRAWLER,INTERNAL_LINKING,MEDIUM,MEDIUM,MIXED,57,https://i-seo.su/offers,Crawler-level orphans: in sitemap/crawl but 0 internal inlinks observed,count=57 — NOT Search Console truth,Add contextual internal links if pages should be discoverable via nav,SEO REVIEW,REVIEW NEEDED
IMG-BROKEN,IMAGES,HIGH,HIGH,MIXED,96,https://i-seo.su/blog/2025/img/Portniagin.png,Broken image URLs — many relative img src resolving under /blog/YYYY/ or /blog/author/ instead of /img/,sampled_broken=96; blog_year_relative=62; author_relative=31; all_404,Fix relative image paths in blog/theme templates to root-absolute /img/ (or CDN) paths,MARS / SITE OPS,CLOSED — see ISEO-SU-HIGH-FIX-WAVE-01-EVIDENCE-v1.md / ISEO-SU-TECH-SEO-HIGH-FIX-STATUS-v1.md
IMG-HUGE,IMAGES,LOW,MEDIUM,MIXED,2,https://i-seo.su/img/cases/seo_ai_cases/makita_01.png,Large image files (>1.5MB) in sample,count=2,Compress / serve modern formats,MARS / SITE OPS,REVIEW NEEDED
IMG-ALT,IMAGES,LOW,MEDIUM,MIXED,445,https://i-seo.su/blog/,Pages with multiple images missing/empty alt,count=445 — decorative empties may be OK; many may be decorative empty-alt — do not mass-fix without design review,Add alt for content-significant images only,SEO REVIEW,REVIEW NEEDED
OG-MISSING,SOCIAL_META,LOW,MEDIUM,MIXED,97,https://i-seo.su/,Missing key Open Graph tags on important templates,count=97,Add og:title/url/image on high-value templates,MARS / SITE OPS,REVIEW NEEDED
SM-DUAL-ARCH,SITEMAP,INFO,HIGH,OTHER,2,https://i-seo.su/sitemap.xml,Canonical root /sitemap.xml indexes sitemap-static.xml + wp-sitemap.xml (ownership split remains),Architecture observation — glossary lives in wp-sitemap; static pages in sitemap-static via /sitemap.xml child; do not auto-duplicate,Document ownership; avoid blindly merging URL sets,SEO REVIEW,EXPECTED BEHAVIOR — root repaired in HIGH-FIX-WAVE-01
