"keyword_id","phrase","group_id","decision","reason"
"seed-CORV-G07-04-core-восстановлен","восстановление работы 1с","CORV-G07-04","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-014","срочно программист 1с","CORV-G07-01","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"seed-CORV-G05-06-core-миграция-дан","миграция данных 1с","CORV-G05-06","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"seed-CORV-G05-06-core-перенос-данн","перенос данных в 1с","CORV-G05-06","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"seed-CORV-G04-01-core-расчет-себес","расчет себестоимости 1с","CORV-G04-01","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"seed-CORV-G04-01-core-себестоимост","себестоимость в 1с","CORV-G04-01","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"seed-CORV-G04-02-core-планирование","планирование закупок 1с","CORV-G04-02","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"seed-CORV-G04-03-core-платежный-ка","платежный календарь 1с","CORV-G04-03","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-1371","внешняя печатная форма документа 1с","CORV-G03-05","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-1411","параметры внешней печатной формы 1с","CORV-G03-05","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"seed-CORV-G03-02-core-новый-отчет-","новый отчет 1с","CORV-G03-02","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-1353","где в 1с печатные формы","CORV-G03-03","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-1341","добавить печатную форму в 1с","CORV-G03-03","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-1356","обработки печатная форма 1с","CORV-G03-03","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-1350","параметры печатных форм 1с","CORV-G03-03","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-1343","печатная форма 1с ут","CORV-G03-03","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-1357","печатная форма отчета 1с","CORV-G03-03","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-1333","печатные формы 1с","CORV-G03-03","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-1361","печатные формы 1с бп","CORV-G03-03","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-1363","печатные формы 1с конфигуратор","CORV-G03-03","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-1367","страница печатной формы 1с","CORV-G03-03","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-002","программист 1с новосибирск","CORV-G01-02","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-092","программисты 1с новосибирск","CORV-G01-02","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"seed-CORV-G01-06-core-обслуживание","обслуживание 1с для организации","CORV-G01-06","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-661","обслуживание и сопровождение 1с","CORV-G01-06","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-717","сопровождение и обслуживание 1с предприятие","CORV-G01-06","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-633","асп сопровождение 1с","CORV-G01-05","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-618","договор сопровождения 1с","CORV-G01-05","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-622","информационно технологическое сопровождение 1с","CORV-G01-05","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-631","информационное сопровождение 1с","CORV-G01-05","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-617","казначейское сопровождение в 1с","CORV-G01-05","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-627","окпд 2 сопровождение 1с","CORV-G01-05","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-611","программное сопровождение 1с","CORV-G01-05","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-003","сопровождение 1с","CORV-G01-05","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-623","сопровождение 1с 8","CORV-G01-05","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-615","сопровождение 1с бухгалтерия","CORV-G01-05","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-624","сопровождение 1с итс","CORV-G01-05","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-621","сопровождение 1с окпд","CORV-G01-05","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-610","сопровождение 1с предприятие","CORV-G01-05","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-616","сопровождение программных продуктов 1с","CORV-G01-05","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-612","сопровождение продуктов 1с","CORV-G01-05","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-614","сопровождение системы 1с","CORV-G01-05","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-629","сопровождение учета в 1с","CORV-G01-05","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-613","сопровождения программы 1с","CORV-G01-05","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-626","техническое сопровождение 1с","CORV-G01-05","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-620","технологическое сопровождение 1с","CORV-G01-05","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-619","центр сопровождения 1с","CORV-G01-05","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"seed-CORV-G01-04-core-внедрение-1с","внедрение 1с","CORV-G01-04","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-509","внедренцы и программисты 1с","CORV-G01-04","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-499","1с программист без образования","CORV-G01-08","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-101","образование программист 1с","CORV-G01-08","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-591","программист 1с без высшего образования","CORV-G01-08","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-264","программист 1с высшее образование","CORV-G01-08","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"seed-CORV-G01-08-core-разовые-рабо","разовые работы 1с","CORV-G01-08","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-041","задание программисту 1с","CORV-G01-01","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-054","задачи 1с программиста","CORV-G01-01","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-052","найти программиста 1с","CORV-G01-01","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-050","нужен программист 1с","CORV-G01-01","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-062","отзыв программисту 1с","CORV-G01-01","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-060","программа программист 1с","CORV-G01-01","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-001","программист 1с","CORV-G01-01","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-056","программист 1с предприятие","CORV-G01-01","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-026","программист 1с удаленно","CORV-G01-01","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-061","программист аналитик 1с","CORV-G01-01","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-038","программист разработчик 1с","CORV-G01-01","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-048","программисты 1с спб","CORV-G01-01","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-053","работать программистом 1с","CORV-G01-01","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-064","сколько зарабатывает программист 1с","CORV-G01-01","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-033","сколько программистов 1с","CORV-G01-01","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-042","стал программистом 1с","CORV-G01-01","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-044","стоимость 1с программисты","CORV-G01-01","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-059","стоимость часа 1с программиста","CORV-G01-01","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-066","технические задания программистам 1с","CORV-G01-01","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-034","часа программиста 1с","CORV-G01-01","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-2330","как подключить тс пиот к 1с","CORV-G08-01","EXCLUDE DIY","EXCLUDE DIY: «как подключить тс пиот к 1с» — how_to_prefix_seeking_self_service; не соответствует платной услуге «Настройка ТС ПИОТ в 1С»."
"kw-corv01-disc-2358","тс пиот в 1с настройка инструкция","CORV-G08-01","EXCLUDE INFORMATIONAL","EXCLUDE INFORMATIONAL: «тс пиот в 1с настройка инструкция» — documentation_or_instruction_seek; не соответствует платной услуге «Настройка ТС ПИОТ в 1С»."
"kw-corv01-disc-2277","лекарство без маркировки","CORV-G06-08","EXCLUDE REGULATORY","EXCLUDE REGULATORY: «лекарство без маркировки» — regulatory_timeline_or_scope_research; не соответствует платной услуге «Маркировка лекарств в 1С»."
"kw-corv01-disc-2262","маркировка лекарств личный кабинет","CORV-G06-08","EXCLUDE INFORMATIONAL","EXCLUDE INFORMATIONAL: «маркировка лекарств личный кабинет» — personal_cabinet_access_not_service; не соответствует платной услуге «Маркировка лекарств в 1С»."
"kw-corv01-disc-2265","маркировка лекарств препаратов","CORV-G06-08","EXCLUDE REGULATORY","EXCLUDE REGULATORY: «маркировка лекарств препаратов» — generic_pharma_listing_not_1c_service; не соответствует платной услуге «Маркировка лекарств в 1С»."
