"group_id","marker","phrase","bid","tier","decision","commercial_conf","hypothesis"
"CORV-G08-01","[C08]","1с розница подключение тс пиот","550","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G08-01","[C08]","настройка подключения к тс пиот 1с","542","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G08-01","[C08]","настройка подключения к тс пиот 1с розница","527","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G08-01","[C08]","настройка тс пиот в 1с розница","512","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G08-01","[C08]","настройка тс пиот в 1с розница 2.3","250","T3","CONTROLLED TEST — JUSTIFIED","CONTROLLED","Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «настройка тс пиот в 1с розница 2.3»."
"CORV-G08-01","[C08]","настройка тс пиот в 1с розница 3","250","T3","CONTROLLED TEST — JUSTIFIED","CONTROLLED","Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «настройка тс пиот в 1с розница 3»."
"CORV-G08-01","[C08]","настройка тс пиот в 1с розница 3.0","250","T3","CONTROLLED TEST — JUSTIFIED","CONTROLLED","Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «настройка тс пиот в 1с розница 3.0»."
"CORV-G08-01","[C08]","настройка тс пиот в 1с унф","452","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G08-01","[C08]","настройка тс пиот в 1с ут","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G08-01","[C08]","настройка тс пиот в 1с ут 11.5","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G08-01","[C08]","не удалось подключиться к тс пиоту 1с","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G08-01","[C08]","подключение тс пиот к 1с","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G08-01","[C08]","тс пиот 1с розница 2.3","250","T3","CONTROLLED TEST — JUSTIFIED","CONTROLLED","Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «тс пиот 1с розница 2.3»."
"CORV-G08-01","[C08]","тс пиот 1с розница 3","250","T3","CONTROLLED TEST — JUSTIFIED","CONTROLLED","Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «тс пиот 1с розница 3»."
"CORV-G08-01","[C08]","тс пиот 1с розница 3.0","250","T3","CONTROLLED TEST — JUSTIFIED","CONTROLLED","Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «тс пиот 1с розница 3.0»."
"CORV-G08-01","[C08]","тс пиот и 1с розница","250","T3","CONTROLLED TEST — JUSTIFIED","CONTROLLED","Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «тс пиот и 1с розница»."
"CORV-G08-01","[C08]","тс пиот настройка в 1с","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G08-01","[C08]","тс пиот честный знак 1с розница","250","T3","CONTROLLED TEST — JUSTIFIED","CONTROLLED","Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «тс пиот честный знак 1с розница»."
"CORV-G08-02","[C08]","1с ут тс пиот","550","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G08-02","[C08]","модуль тс пиот 1с","542","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G08-02","[C08]","тс пиот 1с атол","527","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G08-02","[C08]","тс пиот 1с бухгалтерия","512","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G08-02","[C08]","тс пиот 1с касса","497","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G08-02","[C08]","тс пиот 1с рмк","482","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
