"finding_id","group_id","keyword","negative","level","type","evidence","result_before","correction","result_after","status"
"CF-0001","CORV-G08-01","тс пиот честный знак 1с розница","честный знак","group_cross","BLOCKING","Literal match: «тс пиот честный знак 1с розница» × «честный знак»","BLOCKING","blocks_own_group_keyword","PASS","RESOLVED"
"CF-0002","CORV-G08-02","тс пиот честный знак 1с","честный знак","group_cross","BLOCKING","Literal match: «тс пиот честный знак 1с» × «честный знак»","BLOCKING","blocks_own_group_keyword","PASS","RESOLVED"
"CF-0003","CORV-G06-03","настройка честного знака в 1с","настрой","group_cross","BLOCKING","Literal match: «настройка честного знака в 1с» × «настрой»","BLOCKING","blocks_own_group_keyword","PASS","RESOLVED"
"CF-0004","CORV-G05-01","обмена с сайтом 1с интеграция","обмен","group_cross","BLOCKING","Literal match: «обмена с сайтом 1с интеграция» × «обмен»","BLOCKING","blocks_own_group_keyword","PASS","RESOLVED"
"CF-0005","CORV-G05-01","синхронизация сайта 1с","синхрон","group_cross","BLOCKING","Literal match: «синхронизация сайта 1с» × «синхрон»","BLOCKING","blocks_own_group_keyword","PASS","RESOLVED"
"CF-0006","CORV-G03-05","1с создание внешней печатной формы","создан","group_cross","BLOCKING","Literal match: «1с создание внешней печатной формы» × «создан»","BLOCKING","blocks_own_group_keyword","PASS","RESOLVED"
"CF-0007","CORV-G03-05","создание внешних печатных форм 1с 8.3","создан","group_cross","BLOCKING","Literal match: «создание внешних печатных форм 1с 8.3» × «создан»","BLOCKING","blocks_own_group_keyword","PASS","RESOLVED"
"CF-0008","CORV-G03-03","печатная форма отчета 1с","отчет","group_cross","BLOCKING","Literal match: «печатная форма отчета 1с» × «отчет»","BLOCKING","blocks_own_group_keyword","PASS","RESOLVED"
"CF-0009","CORV-G02-04","обновление доработанных конфигураций 1с","конфигурац","group_cross","BLOCKING","Literal match: «обновление доработанных конфигураций 1с» × «конфигурац»","BLOCKING","blocks_own_group_keyword","PASS","RESOLVED"
"CF-0010","CORV-G02-05","сохранение доработок при обновлении 1с","обновлен","group_cross","BLOCKING","Literal match: «сохранение доработок при обновлении 1с» × «обновлен»","BLOCKING","blocks_own_group_keyword","PASS","RESOLVED"
"CF-0011","CORV-G02-06","исправление доработок после обновления 1с","обновлен","group_cross","BLOCKING","Literal match: «исправление доработок после обновления 1с» × «обновлен»","BLOCKING","blocks_own_group_keyword","PASS","RESOLVED"
"CF-0012","CORV-G02-02","обновление конфигурации 1с с доработками","обновлен","group_cross","BLOCKING","Literal match: «обновление конфигурации 1с с доработками» × «обновлен»","BLOCKING","blocks_own_group_keyword","PASS","RESOLVED"
"CF-0013","CORV-G01-07","абонентское обслуживание 1с","обслуживание","group_cross","BLOCKING","Literal match: «абонентское обслуживание 1с» × «обслуживание»","BLOCKING","blocks_own_group_keyword","PASS","RESOLVED"
"CF-0014","CORV-G01-04","внедренцы и программисты 1с","программист","group_cross","BLOCKING","Literal match: «внедренцы и программисты 1с» × «программист»","BLOCKING","blocks_own_group_keyword","PASS","RESOLVED"
"CF-0015","CORV-G01-03","программист 1с настройка","программист","group_cross","BLOCKING","Literal match: «программист 1с настройка» × «программист»","BLOCKING","blocks_own_group_keyword","PASS","RESOLVED"
