source_term,canonical_term,final_disposition,category,priority,difficulty,expert_review_original,verification_status,canonical_slug,merge_target,synonyms,source_keywords,source_lsi,editorial_notes,batch_candidate
АГС,АГС,APPROVED,search engines and indexing,MEDIUM,MODERATE,YES,verified_primary_framing,агс,,антидорвейный алгоритм,"АГС, алгоритм АГС","понижение сайтов с дорвеями, борьба с некачественными страницами, санкции Яндекса",Yandex anti-doorway family — verify current naming/status. | Approved with historical Yandex anti-doorway framing; avoid claiming current active filter status without primary doc.,NO
Акцептор,Акцептор ссылки,APPROVED_RENAME,link building,MEDIUM,SIMPLE,NO,standard,акцептор-ссылки,,страница-акцептор,акцептор ссылки,"страница, принимающая ссылку, целевой URL, получатель веса",Disambiguate from other meanings.,NO
Алгоритм ранжирования,Алгоритм ранжирования,APPROVED,search engines and indexing,MEDIUM,MODERATE,YES,verified_primary_framing,алгоритм-ранжирования,,поисковый алгоритм,"алгоритм ранжирования, факторы ранжирования","формула поиска, машинное обучение, оценка релевантности страниц",Default KEEP pending pilot-standard drafting. | Approved as general concept; no invented formulas.,NO
Алгоритмы поисковых систем,Алгоритм ранжирования,MERGED,search engines and indexing,LOW,MODERATE,NO,not_required,,Алгоритм ранжирования,поисковые алгоритмы,алгоритмы поисковых систем,"формулы ранжирования, факторы оценки сайта, обновления поисковика",Near-duplicate of «Алгоритм ранжирования»; keep plural as synonym/redirect only.,NO
Анкор (анкорный текст),Анкорный текст,APPROVED_RENAME,link building,HIGH,SIMPLE,NO,standard,анкорный-текст,,анкорный лист,"анкор, анкорный текст","текст ссылки, ключевая фраза в ссылке, разнообразие анкоров",Prefer «Анкорный текст» as canonical title.,YES
Апдейт алгоритма,Апдейт алгоритма,APPROVED,search engines and indexing,MEDIUM,MODERATE,YES,needs_expert_pass,апдейт-алгоритма,,обновление алгоритма,апдейт алгоритма,"обновление формулы ранжирования, изменение позиций, реакция сайтов на апдейт",Default KEEP pending pilot-standard drafting.,NO
Асессор,Асессор,APPROVED,analytics and metrics,MEDIUM,MODERATE,NO,standard,асессор,,эксперт-оценщик,"асессор, оценка качества выдачи","ручная оценка сайта, качество контента, критерии Яндекса и Google",Default KEEP pending pilot-standard drafting. | Approved; quality rater framing.,NO
"Атрибут rel=""nofollow""",Nofollow,APPROVED_RENAME,link building,HIGH,MODERATE,NO,standard,nofollow,,nofollow-ссылка,атрибут rel nofollow,"запрет передачи веса по ссылке, отказ от учёта ссылки поисковиком, разметка рекламных ссылок",Normalize to Nofollow; mention rel attribute and sponsored/ugc in definition.,YES
Аудит сайта (SEO-аудит),SEO-аудит,APPROVED_RENAME,SEO fundamentals,HIGH,MODERATE,NO,standard,seo-аудит,,SEO-анализ,"SEO-аудит, аудит сайта","технический аудит, анализ ошибок, план оптимизации",Canonical commercial/service term: SEO-аудит.,NO
Аутрич,Аутрич,APPROVED,link building,MEDIUM,MODERATE,NO,standard,аутрич,,outreach-маркетинг,"аутрич, outreach","работа с владельцами сайтов, размещение материалов, персонализированные предложения",Default KEEP pending pilot-standard drafting.,NO
