"phrase","collision_result","semantic_risk","final_action","explanation"
"работа программист","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"работа 1с","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"работа на 1с","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"удаленная работа","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"удалённая работа","NONE","LOW","KEEP","no collision"
"ищу работу","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"вакансии","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"вакансия","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"резюме","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"зарплата","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"стажировка","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"стажер","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"работодатель","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"трудоустройство","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"собеседование","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"hh.ru","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"hh","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"superjob","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"gorodrabot.ru","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"zarplata.ru","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"обучение","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"курсы","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"курс","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"урок","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"уроки","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"учебник","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"учиться","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"профессия","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"экзамен","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"диплом","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"курсовая","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"реферат","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"студент","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
