post_id,title,check,result,notes
316,"Поведенческие зависимости","no alcohol-specific text copied",PASS,"no alcohol markers in ACF"
75,"Профилактический анализ","no alcohol-specific text copied",PASS,"no alcohol markers in ACF"
1047,"Компьютерная зависимость","no alcohol-specific text copied",PASS,"no alcohol markers in ACF"
1048,"Лечение опиумной зависимости","no alcohol-specific text copied",PASS,"no alcohol markers in ACF"
79,ПТСР,"no alcohol-specific text copied",PASS,"no alcohol markers in ACF"
80,"Эмоциональное выгорание","no alcohol-specific text copied",PASS,"no alcohol markers in ACF"
82,"Расстройства сна","no alcohol-specific text copied",PASS,"no alcohol markers in ACF"
83,Травма,"no alcohol-specific text copied",PASS,"no alcohol markers in ACF"
1049,"Хроническая усталость","no alcohol-specific text copied",PASS,"no alcohol markers in ACF"
1050,Стресс,"no alcohol-specific text copied",PASS,"no alcohol markers in ACF"
1051,Нарциссизм,"no alcohol-specific text copied",PASS,"no alcohol markers in ACF"
86,Булимия,"no alcohol-specific text copied",PASS,"no alcohol markers in ACF"
87,"Компульсивное переедание","no alcohol-specific text copied",PASS,"no alcohol markers in ACF"
1011,"Лечение солевой зависимости","no alcohol-specific text copied",PASS,"no alcohol markers in ACF"
1012,"Лечение метадоновой зависимости","no alcohol-specific text copied",PASS,"no alcohol markers in ACF"
1013,"Лечение героиновой зависимости","no alcohol-specific text copied",PASS,"no alcohol markers in ACF"
315,"Лечение лекарственной зависимости","no alcohol-specific text copied",PASS,"no alcohol markers in ACF"
1016,"Лечение игровой зависимости","no alcohol-specific text copied",PASS,"no alcohol markers in ACF"
1017,Интернет-зависимость,"no alcohol-specific text copied",PASS,"no alcohol markers in ACF"
1018,"Лечение созависимости","no alcohol-specific text copied",PASS,"no alcohol markers in ACF"
1019,"Зависимость от постоянных покупок","no alcohol-specific text copied",PASS,"no alcohol markers in ACF"
314,"Лечение наркотической зависимости","no alcohol-specific text copied",PASS,"no alcohol markers in ACF"
78,Депрессия,"no alcohol-specific text copied",PASS,"no alcohol markers in ACF"
81,"Тревожные расстройства","no alcohol-specific text copied",PASS,"no alcohol markers in ACF"
85,Анорексия,"no alcohol-specific text copied",PASS,"no alcohol markers in ACF"
