post_id,field,before_state,after_state,action,seeded_value_or_source,existing_preserved,result,notes
73,section_dependencies_heading,demo,demo,preserved,"Зависимости, которые мы лечим 000101",yes,PASS,
73,section_dependencies_lead,demo,demo,preserved,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor i",yes,PASS,
73,section_dependencies_footer,demo,demo,preserved,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor i",yes,PASS,
73,section_nature_heading,demo,demo,preserved,"Природа зависимости 000101",yes,PASS,
73,section_nature_lead,meaningful,meaningful,preserved,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor i",yes,PASS,
73,section_nature_text_blocks,empty,meaningful,seeded,"rows:2",n/a,PASS,empty_before_demo_or_image
73,section_nature_cards,meaningful,meaningful,preserved,"rows:2",yes,PASS,
73,section_program_heading,demo,demo,preserved,"Наша программа включает 4 направления ТЕСТ",yes,PASS,
73,section_program_more_label,demo,demo,preserved,"подробнее ТЕСТ",yes,PASS,
73,section_program_lead,demo,demo,preserved,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor i",yes,PASS,
73,section_program_intro_items,meaningful,meaningful,preserved,"rows:2",yes,PASS,
73,section_stages_heading,meaningful,meaningful,preserved,"Что нужно для прохождения реабилитации и ле",yes,PASS,
73,section_stages_lead,meaningful,meaningful,preserved,"Мы гарантируем конфиденциальность, уважени",yes,PASS,
73,section_stages_items,empty,meaningful,seeded,"rows:4",n/a,PASS,empty_before_demo_or_image
73,section_stages_support_heading,meaningful,meaningful,preserved,"Поддержка осуществляется на всех этапах:",yes,PASS,
73,section_stages_support_items,meaningful,meaningful,preserved,"rows:4",yes,PASS,
73,section_approach_heading,meaningful,meaningful,preserved,"Наш подход к лечению зависимостей",yes,PASS,
73,section_approach_more_label,meaningful,meaningful,preserved,"подробнее",yes,PASS,
73,section_approach_more_url,meaningful,meaningful,preserved,"http://shpigovsky.test/o-centre/programma-lecheniya/",yes,PASS,
73,section_approach_highlight,meaningful,meaningful,preserved,"Мы используем мультидисциплинарный подход ",yes,PASS,
73,section_approach_intro,meaningful,meaningful,preserved,"Лечение в нашем реабилитационном центре со�",yes,PASS,
73,section_corridor_image,empty,meaningful,seeded,"1709",n/a,PASS,empty_before_demo_or_image
73,section_corridor_image_alt,empty,meaningful,seeded,"Интерьер клиники — коридор с картинами",n/a,PASS,empty_before_demo_or_image
73,section_team_image,empty,meaningful,seeded,"1238",n/a,PASS,empty_before_demo_or_image
73,section_team_image_alt,empty,meaningful,seeded,"Команда специалистов реабилитационного це�",n/a,PASS,empty_before_demo_or_image
73,section_approach_cards,meaningful,meaningful,preserved,"rows:4",yes,PASS,
73,section_clinic_landscape_image,meaningful,meaningful,preserved,"1239",yes,PASS,
73,section_faq_heading,meaningful,meaningful,preserved,"Нас часто спрашивают",yes,PASS,
